LANGUAGE,"English","French","Spanish","Italian"


STRC_01v21,"Man, did anyone see that crap on TV today? Who is that chick?","Eh, tu as vu ce truc à la télé ? C'est qui, cette meuf ?","¿Alguien ha visto hoy la mierda ésa en la tele? ¿Quién es esa tía?","Chi è che oggi ha visto quella schifezza in TV? Chi è quella tipa?"
STRC_01v22,"Sahrani – Paradise on Earth.' Stay here like half a year bimbo, and then tell me what you think. This place is weird.","Sahrani, le paradis sur terre... Passe six mois ici, bimbo, et on en reparlera. Ça craint, cet endroit.","Sahrani: el paraíso en la tierra. A ver preciosa, quédate aquí seis meses y luego me cuentas. Este sitio es muy raro.","Sahrani, il paradiso terrestre. Prova a viverci per sei mesi e poi dimmi che cosa ne pensi. Questo posto è strano."
STRC_01v23,"Carlos, I don't think the lady spent her time here keeping those RACS clusterfucks in line. Anyway, she's here again. I saw her in Ortego yesterday.","Carlos, ça m'étonnerait qu'elle ait passé son temps ici à faire marcher au pas ces bouffons de soldats royaux. En tout cas, elle est de retour. Je l'ai vue à Ortego hier.","Carlos, no creo que la señora se haya pasado el tiempo manteniendo a raya a esos RACS. Aquí está otra vez. Ayer la vi en Ortego.","Carlos, la signora non ha passato il suo tempo a tenere a bada un branco di soldati dell’esercito reale. Comunque, è ancora qui: l’ho vista ieri a Ortego."
STRC_01v24,"Hey, wasn't that Gordon from 2nd Platoon, the one she interviewed?","Eh, ce n'est pas Gordon, de la 2e section, le mec qu'elle a interviewé ?","Eh, ¿ése que ha entrevistado no era Gordon, de la sección 2ª?","Ehi, mica era Gordon del 2° plotone, quello che ha intervistato?"
STRC_01v25,"Yeah. Damn him and the rest of 2nd for already being back in California, probably scoring chicas as heroic war veterans.","Ouais, ce salaud et toute sa section sont déjà en Californie, probablement à se sortir des filles en jouant les héros.","Sí, que se pudra, él y el resto de la sección 2ª, que ya estarán en California ligándose a las pibas como si fueran veteranos de guerra.","Già. Maledizione a lui e a tutto il 2º plotone! Ora saranno in California, probabilmente a rimorchiare ragazze."
STRC_01v26,"Any word on whether we'll be sent back to the real world anytime soon?","Et nous, on sait quand on va retrouver la civilisation ?","¿Se sabe algo de si nos van a mandar pronto al mundo real?","E noi, nessuna idea di quando torneremo nel mondo reale?"
STRC_01v27,"Nothing official so far, but count on at least another one or two weeks here. Now keep this net clear of chit-chat, troops.","Rien d'officiel, mais tablez sur une ou deux semaines ici encore. Maintenant, libérez la fréquence, soldats.","Todavía no es oficial, pero contad con una o dos semanas más por aquí. Y despejad la línea, basta de charlas.","Per ora niente di ufficiale, ma metti in conto almeno un paio di settimane ancora. Ora basta con le chiacchiere, soldati."
STRC_01v28,"Yes sir. I wonder if they'll even bother to pick up all these Humvees. The Cavalry units already left months ago.","Reçu. Je me demande s'ils vont prendre la peine de ramasser tous ces Humvee. Ça fait des mois que les unités de cavalerie sont parties.","Sí, señor. Me pregunto si se molestarán en recoger estos Humvees. La caballería se marchó hace meses.","Sissignore. Mi chiedo se si degneranno di venir a prendere gli Humvee. Le unità di cavalleria se ne sono andate da mesi."
