LANGUAGE,"English","French","Spanish","Italian"


STRC_02r01,"CROSSROAD TO ALL UNITS. MOVE TO YOUR POSITIONS STAT. ECHO IS IN CHARGE OF THIS OPERATION. GOOD LUCK. CROSSROAD OUT.","CROSSROAD À TOUTES LES UNITÉS. REJOIGNEZ VOS POSITIONS AU PLUS VITE. ECHO DIRIGE CETTE OPÉRATION. BONNE CHANCE. CROSSROAD, TERMINÉ.","CROSSROAD A TODAS LAS UNIDADES. A VUESTRAS POSICIONES, URGENTE. ECHO ESTÁ A CARGO DE ESTA OPERACIÓN. SUERTE. CROSSROAD, CORTO.","CROSSROAD A TUTTE LE UNITÀ. METTETEVI SUBITO IN POSIZIONE. ECHO COMANDA QUEST’OPERAZIONE. BUONA FORTUNA. CHIUDO."
STRC_02r02,"ECHO TO ALL UNITS. HOLD YOUR FIRE AND LET THEM COME CLOSER!","ECHO À TOUTES LES UNITÉS. NE TIREZ PAS, LAISSEZ-LES APPROCHER !","ECHO A TODAS LAS UNIDADES. ¡NO DISPARÉIS, DEJAD QUE SE ACERQUEN MÁS!","ECHO A TUTTE LE UNITÀ. CESSATE IL FUOCO E LASCIATE CHE SI AVVICININO!"
STRC_02r03,"ECHO TO AT TEAMS. TARGET THOSE TANKS!","ECHO À TOUTES LES ÉQUIPES. VISEZ CES CHARS !","ECHO A TODOS LOS PELOTONES. ¡APUNTAD A ESOS TANQUES!","ECHO A TUTTE LE SQUADRE. MIRATE A QUEI CARRI ARMATI!"
STRC_02r04,"ALL UNITS OPEN FIRE! LET THEM HAVE IT!","À TOUS, OUVREZ LE FEU ! DÉTRUISEZ-LES !","¡ TODAS LAS UNIDADES, ABRID FUEGO! ¡DADLES SU MERECIDO!","A TUTTE LE UNITÀ, DISTRUGGETELI!"
STRC_02r07,"CROSSROAD TO ECHO. MARBLE REPORTS HEAVY CASUALTIES. THEY CANNOT BREAK THROUGH THE SLA LINES, I SAY AGAIN, THEY CANNOT BREAK THROUGH THE SLA LINES! WHAT'S YOUR SITUATION? OVER.","CROSSROAD À ECHO. MARBLE REND COMPTE DE LOURDES PERTES. ILS NE PEUVENT PAS PERCER À TRAVERS LES LIGNES DE L'ALS, JE RÉPÈTE, ILS NE PEUVENT PAS PERCER LES LIGNES ENNEMIES ! QUELLE EST VOTRE SITUATION ? À VOUS.","CROSSROAD A ECHO. MARBLE HA SUFRIDO MUCHAS BAJAS. NO PUEDEN CRUZAR LAS LÍNEAS DEL SLA, REPITO, ¡NO PUEDEN CRUZAR LAS LÍNEAS DEL SLA! ¿CUÁL ES VUESTRA SITUACIÓN? CAMBIO.","CROSSROAD A ECHO. MARBLE RIFERISCE DI PERDITE PESANTI. NON RIESCONO A SFONDARE LE LINEE DELL’ELS. RIPETO, NON RIESCONO A SFONDARE LE LINEE NEMICHE. LA VOSTRA SITUAZIONE? PASSO."
STRC_02r08,"ECHO ONE TO CROSSROAD. WE'VE DEALT WITH THE FIRST WAVE BUT IT LOOKS LIKE MORE TROOPS ARE APPROACHING. PLEASE ADVISE, OVER.","ECHO UN À CROSSROAD. ON A RÉGLÉ SON COMPTE À LA PREMIÈRE VAGUE, MAIS ON DIRAIT QUE D'AUTRES ÉLÉMENTS APPROCHENT. DEMANDONS CONDUITE À TENIR, À VOUS.","ECHO UNO A CROSSROAD. HEMOS HECHO FRENTE A LA PRIMERA OLEADA, PERO PARECE QUE VIENEN MÁS TROPAS. ¿QUÉ SUGERÍS? CAMBIO.","ECHO UNO A CROSSROAD. ABBIAMO FRONTEGGIATO LA PRIMA ONDATA, MA CI SONO ALTRE TRUPPE IN ARRIVO. ASPETTIAMO ORDINI. PASSO."
STRC_02r09,"CROSSROAD TO ALL UNITS. WE CANNOT START THE COUNTERATTACK. HOLD POSITIONS WHILE GOLF AND HOTEL EVACUATE OUR SUPPORTING UNITS FROM THE CITY OF ORTEGO. OVER.","CROSSROAD À TOUTES UNITÉS. IMPOSSIBLE DE LANCER LA CONTRE-ATTAQUE. TENEZ VOS POSITIONS JUSQU'À CE QUE GOLF ET HOTEL AIENT ÉVACUÉ NOS UNITÉS DE SOUTIEN D'ORTEGO. À VOUS.","CROSSROAD A TODAS LAS UNIDADES. NO PODEMOS INICIAR EL CONTRAATAQUE. MANTENED POSICIONES MIENTRAS GOLF Y HOTEL EVACUAN A NUESTRAS UNIDADES DE APOYO DE ORTEGO. CAMBIO.","CROSSROAD A TUTTE LE UNITÀ. NON POSSIAMO INIZIARE IL CONRATTACCO. MANTENETE LE POSIZIONI MENTRE GOLF E HOTEL EVACUANO LE NOSTRE UNITÀ DI SUPPORTO DA ORTEGO. PASSO."
STRC_02r10,"ECHO ONE TO CROSSROAD. RECEIVED AND UNDERSTOOD. OUT.","ECHO UN À CROSSROAD. REÇU ET BIEN COMPRIS. TERMINÉ.","ECHO UNO A CROSSROAD. RECIBIDO. CORTO.","ECHO UNO A CROSSROAD. RICEVUTO. CHIUDO."
