LANGUAGE,"English","French","Spanish","Italian"


STRC_03v01,"Ok, the bridge is right up ahead. Make sure you place those charges under the bridge, and find yourself a good place to hide within detonator range.","Bon, le pont est droit devant. Il faut placer les charges sous le pont et te trouver un endroit pour te mettre à l'abri, mais à portée de détonateur.","El puente está justo delante. Colocad las cargas debajo del puente y buscad un buen escondite dentro del radio de alcance del detonador.","Ok, il ponte è qui di fronte. Piazza le cariche esplosive sotto il ponte e trova un buon nascondiglio da cui far detonare le cariche."
STRC_03v02,"I'll rig the other two bridges myself. When you receive the gocode ""Flash, flash, flash"", you blow the thing sky high. Got it?","Je vais m'occuper des deux autres ponts. Quand tu recevras le signal ""Flash, flash, flash !"", tu me fais péter ce truc, compris ?","Yo pondré las cargas en los otros dos puentes. Cuando escuchéis la señal de avance “Flash, flash, flash”, lo voláis. ¿Está claro?","Agli altri due ponti ci penso io. Quando ricevi il segnale “Flash, flash, flash” fai esplodere le cariche. Chiaro?"
STRC_03v03,"Flash, flash, flash. Yes sir!","Flash, flash, flash ! Compris.","Flash, flash, flash. ¡Sí, señor!","Flash, flash, flash. Sissignore!"
STRC_03v04,"Right. This is your stop. Good luck kid.","Bon, c'est là que tu descends. Bonne chance, petit.","Ésta es tu parada. Buena suerte, muchacho.","Ok, ci siamo. Scendi e buona fortuna."
STRC_03r11,"Hold still, soldier. There are still more enemy units on the way!","Reste là, soldat. D'autres unités ennemies sont en route !","Quieto soldado. ¡Aún quedan unidades enemigas por venir!","Non ti muovere, soldato. Ci sono altre unità nemiche in arrivo!"
STRC_03r01,"Wildfire one to Crossroad. Operation compromised! All units, pull back. The enemy has been alerted! Out.","Wildfire Un à Crossroad. Opération compromise ! À toutes les unités, repli ! L'ennemi a été alerté ! Terminé.","Wildfire Uno a Crossroad. ¡Operación en peligro! A todas las unidades, retiraos. ¡El enemigo ha sido alertado! Corto.","Wildfire Uno a Crossroad. Operazione fallita! A tutte le unità, ritirarsi. Il nemico è in allerta. Chiudo."
STRC_03r02,"Flash! Flash! Flash!","Flash, flash, flash !","¡Detónalas! ¡Detónalas!","Flash! Flash! Flash!"
STRC_03r03,"Wildfire two, take out that bridge now!","Wildfire Deux, fais sauter ce pont, vite !","Wildfire Dos, ¡destruid el puente!","Wildfire Due, distruggi quel ponte!"
STRC_03r04,"Wildfire one to Crossroad. The SLA armor made it through the town. Abort the mission! Out.","Wildfire Un à Crossroad. Les blindés de l'ALS sont entrés dans la ville. Annulez la mission, terminé !","Wildfire Uno a Crossroad. Los tanques del SLA han conseguido cruzar la ciudad. ¡Abortad misión! Corto.","Wildfire Uno a Crossroad. I blindati dell’ELS sono riusciti ad attraversare la città. Abortire la missione! Chiudo."
STRC_03r05,"Wildfire one to Wildfire two. Alright, they're locked in. Find yourself some AT rounds and give them a good scare.","Wildfire Un à Wildfire Deux. Bien, ils sont coincés. Trouve des munitions antichar et flanque-leur la trouille.","Wildfire Uno a Wildfire Dos. De acuerdo, están a tiro. Buscaos cargas antitanque y dadles un buen susto.","Wildfire Uno a Wildfire Due. Ok, sono intrappolati. Trova delle munizioni anticarro e spaventali un po’."
