LANGUAGE,"English","French","Spanish","Italian"


STRC_05v01,"Let's move out sir! The RACS reports coming in over the radio sound more desperate by the minute.","Il faut y aller ! Les comptes rendus radio du CARS sont de plus en plus désespérés.","¡En marcha! Los informes de las RACS que llegan por radio son cada vez más desesperados.","Signore, andiamocene! Le notizie che arrivano via radio dai CERS si fanno sempre più disperate."
STRC_05v03,"Bravo Team ready sir.","Équipe Bravo prête.","Pelotón Bravo preparado.","Squadra Bravo pronta."
STRC_05v04,"All squads, load up. We're moving out!","À tous les groupes, embarquement. On y va !","A todos los pelotones. Cargad. ¡Nos vamos!","A bordo! Ce ne stiamo andando!"
STRC_05v05,"Look!","Regardez !","¡Mirad!","Eccoli!"
STRC_05v06,"Harriers!","Des Harrier !","¡Harriers!","Gli Harrier!"
STRC_05v07,"Wahoo!","Waouh !","¡Ahhh!","Sìii!"
STRC_05v08,"Fucking finally!","C'est pas trop tôt !","¡Joder! ¡Por fin!","Non è mai troppo tardi!"
STRC_05v09,"Kick ass!","Chopez-les !","¡Dadles bien!","Grande!"
STRC_05r01,"Charlie Company to HQ. They're everywhere. We need reinforcements! Over.","Compagnie Charlie à PC. Ils sont partout. Il nous faut des renforts ! À vous.","Compañía Charlie a Central. Están por todas partes. ¡Necesitamos refuerzos! Cambio.","Compagnia Charlie a QG. Sono dappertutto. Ci servono rinforzi! Passo."
STRC_05r02,"Bravo HQ took a direct hit! It's gone! They're all dead!","Le PC Bravo a reçu un tir direct. Il est détruit, tout le monde est mort !","¡La Central Bravo ha sido atacada de pleno! ¡Están todos muertos!","QG Bravo è stato colpito! Distrutto! Sono morti tutti!"
STRC_05r03,"HQ to Alpha. Reinforce sector seven... Alpha, come in!","PC à Alpha. Renforcez le secteur sept... Alpha, répondez !","Central a Alpha. Reforzad el sector siete... ¡Alpha, me recibes!","QG a Alpha. Rinforzate il settore sette. Alpha, rispondete!"
STRC_05r04,"SLA forces are closing in on the airfield. I say again, SLA forces are closing in on the airfield!","Les forces de l'ALS approchent de l'aérodrome. Je répète, les forces de l'ALS approchent de l'aérodrome !","Las fuerzas del SLA se acercan por el campo aéreo, ¡repito, las fuerzas del SLA se acercan por el campo aéreo!","Le forze dell’ELS si stanno avvicinando al campo d’aviazione, ripeto, si stanno avvicinando!"
STRC_05r05,"Listen up squads. SLA forces have performed an amphibious landing on the Northern coast. We're talking several Companies of mechanised infantry here. It's not going to be easy.","Écoutez bien, tous. Les forces de l'ALS ont effectué un débarquement sur la côte nord. Il s'agit de plusieurs compagnies d'infanterie mécanisée. Ça ne va pas être facile.","A todos los pelotones, las fuerzas del SLA han realizado un aterrizaje acuático sobre la costa norte. Hay varias compañías de infantería mecanizada. No va a ser fácil.","Ascoltate bene. Parecchie compagnie di fanteria meccanizzata dell’ELS sono sbarcate sulla costa nord. Non sarà un gioco da ragazzi!"
