LANGUAGE,"English","French","Spanish","Italian"


STRC_06v01,"Here they come!","Les voilà !","¡Aquí vienen!","Eccoli che arrivano!"
STRC_06v02,"Alright!","Super !","¡Venga!","Ok!"
STRC_06v03,"Woohoo!","Wou-hou !","¡Ohhhh!","Uh uh!"
STRC_06v04,"Kick some Slag ass!","Bottez-leur les fesses !","¡Acaba con esa Escoria!","Fategliela vedere!"
STRC_06v05,"Keep in mind, Sergeant. Once those Shilkas get a bead on you, they can wreak havoc on the Strykers and your squad, so try to take them out as fast as possible.","N'oubliez pas, sergent : si ces Shilka réussissent à vous acquérir, ils réduiront les Stryker et votre groupe en charpie, alors essayez de les détruire le plus vite possible.","Sargento, recuerda que una vez esos Shilkas te tengan a tiro, podrán destruir los Strykers y acabar con tu sección. Intenta destruirlos lo más rápido posible.","Attenzione, sergente. Questi Shilka sono in grado di distruggere gli Stryker e tutta la sua squadra: neutralizzateli il più velocemente possibile."
STRC_06v06,"Let's move out!","En route !","¡Salgamos de aquí!","Andiamo!"
STRC_06v07,"Move! Move!","En avant ! En avant !","¡En marcha, venga!","Muoversi!"
STRC_06r01,"All units, this is Runner One. Radio check, over.","À tous, ici Runner Un. Vérif. radio, à vous.","A todas las unidades, aquí Runner Uno. Condiciones de transmisión, cambio.","A tutte le unità, qui Runner Uno. Controllo radio, passo."
STRC_06r02,"Runner One, Echo One, 5 by 5, over.","Runner Un, Echo Un. Cinq-cinq, à vous.","Runner Uno, Echo Uno, 5 de 5, cambio.","Echo Uno, ricevuto forte e chiaro, passo."
STRC_06r03,"Roger Echo, 5 by 5, over.","Reçu, Echo, cinq-cinq, à vous.","Recibido Echo, 5 de 5, cambio.","Ricevuto forte e chiaro, Echo. Passo."
STRC_06r04,"Runner One, this is Foxtrot One. Fair and readable, over.","Runner Un, ici Foxtrot Un. Assez haut et lisible, à vous.","Runner Uno, aquí Foxtrot Uno. Todo en orden, cambio.","Runner Uno, qui è Foxtrot Uno. Forte e chiaro, passo."
STRC_06r05,"Acknowledged Foxtrot One. Read you 5 by 5, over.","Reçu, Foxtrot Un. Je vous reçois cinq-cinq, à vous.","Recibido, Foxtrot Uno. Te recibo 5 de 5, cambio.","Ricevuto Foxtrot Uno. Forte e chiaro, passo."
STRC_06r06,"Golf One to Runner One. Reading loud and clear, over.","Golf Un à Runner Un. Je vous reçois haut et clair, à vous.","Golf Uno a Runner Uno. Te recibo con claridad, cambio.","Golf Uno a Runner Uno. Ricevuto forte e chiaro, passo."
STRC_06r07,"Understood Golf One, strong and readable, over.","Compris, Golf Un, haut et lisible, à vous.","Comprendido, Golf Uno, alto y claro, cambio.","Ricevuto Golf Uno, forte e chiaro, passo."
STRC_06r08,"Ok people, we're entering Slag territory now. Stay sharp. Runner One out.","Très bien, messieurs, on entre chez l'ALS. Ouvrez l'œil. Runner Un, terminé.","Chicos, estamos entrando en terrotorio Escoria. Manteneos alerta. Runner Uno, corto.","Ok, ragazzi, stiamo entrando in territorio nemico. Fate attenzione. Chiudo."
