LANGUAGE,"English","French","Spanish","Italian"


STRC_07ar01,"FOXTROT ONE TO MOGUL. RADIO CHECK, OVER.","FOXTROT UN À MOGUL. VÉRIF. RADIO, À VOUS.","FOXTROT UNO A MOGUL. CONDICIONES DE TRANSMISIÓN, CAMBIO.","FOXTROT UNO A MOGUL. CONTROLLO RADIO. PASSO"
STRC_07ar02,"MOGUL HERE. RECEIVING LOUD AND READABLE. ALL CLEAR FOR NOW. OUT.","ICI MOGUL. JE VOUS REÇOIS HAUT ET LISIBLE. R.A.S. POUR L'INSTANT. TERMINÉ.","AQUÍ MOGUL. RECIBIDO, ALTO Y CLARO. DE MOMENTO, TODO DESPEJADO. CORTO.","QUI MOGUL. TI RICEVO FORTE E CHIARO. FINORA TUTTO OK. CHIUDO."
STRC_07ar03,"MOGUL TO FOXTROT, MOGUL TO FOXTROT. WE HAVE COMPANY! I SAY AGAIN, WE HAVE COMPANY. SEVERAL TANKS APPROACHING ON THE ROAD FROM THE SOUTH. DO YOU COPY? OVER.","MOGUL À FOXTROT, MOGUL À FOXTROT. ON A DE LA VISITE ! JE RÉPÈTE, ON A DE LA VISITE. PLUSIEURS CHARS APPROCHENT DU SUD PAR LA ROUTE. VOUS ME RECEVEZ ? À VOUS.","MOGUL A FOXTROT, MOGUL A FOXTROT. ¡TENEMOS COMPAÑÍA! REPITO: TENEMOS COMPAÑÍA. SE ACERCAN VARIOS TANQUES POR LA CARRETERA DEL SUR, ¿ME RECIBES? CAMBIO.","MOGUL A FOXTROT, MOGUL A FOXTROT. ABBIAMO COMPAGNIA! RIPETO, ABBIAMO COMPAGNIA. CARRI ARMATI IN AVVICINAMENTO DALLA STRADA A SUD. MI RICEVETE? PASSO."
STRC_07ar04,"FOXTROT ONE. WE ARE READY. OUT.","FOXTROT UN. NOUS SOMMES PRÊTS. TERMINÉ.","FOXTROT UNO. ESTAMOS PREPARADOS. CORTO.","FOXTROT UNO. SIAMO PRONTI. CHIUDO."
STRC_07ar05,"MOGUL TO FOXTROT, IT LOOKS LIKE ENEMY INFANTRY IS GETTING TO YOUR POSITION NEAR THE ROAD FROM EAST. BMPS INVOLVED TOO.","MOGUL À FOXTROT, ON DIRAIT QUE DES FANTASSINS ENNEMIS APPROCHENT DE VOTRE POSITION PRÈS DE LA ROUTE PAR L'EST. PRÉSENCE DE BMP.","MOGUL A FOXTROT, PARECE QUE LA INFANTERÍA ENEMIGA SE ACERCA A VUESTRA POSICIÓN, CERCA DEL CAMINO DEL ESTE. TAMBIÉN HAY BLINDAJES.","MOGUL A FOXTROT. LA FANTERIA NEMICA E DIVERSI BMP IN AVVICINAMENTO ALLA VOSTRA POSIZIONE VICINO ALLA STRADA DA EST."
STRC_07ar06,"FOXTROT ONE TO MOGUL. WE'RE READY. OUT.","FOXTROT UN À MOGUL. NOUS SOMMES PRÊTS. TERMINÉ.","FOXTROT UNO A MOGUL. ESTAMOS PREPARADOS. CORTO.","FOXTROT UNO A MOGUL.. SIAMO PRONTI. CHIUDO."
STRC_07ar07,"FOXTROT ONE TO SNIPER TEAM. PROCEED TO YOUR POSITIONS, OVER.","FOXTROT UN À ÉQUIPE SNIPERS. REJOIGNEZ VOS POSITIONS, À VOUS.","FOXTROT UNO A PELOTÓN FRANCOTIRADOR. PROCEDED A VUESTRAS POSICIONES. CAMBIO.","FOXTROT UNO A SQUADRA DI CECCHINI. IN POSIZIONE. PASSO."
STRC_07ar08,"SNIPER TEAM TO FOXTROT. WE'RE ON OUR WAY. OUT.","ÉQUIPE SNIPERS À FOXTROT. NOUS SOMMES EN ROUTE. TERMINÉ.","PELOTÓN FRANCOTIRADOR A FOXTROT. VAMOS PARA ALLÁ. CORTO.","SQUADRA CECCHINI A FOXTROT. STIAMO ANDANDO. CHIUDO."
STRC_07ar09,"FOXTROT ONE TO ARTILERY TEAM. WE NEED YOUR SUPPORT! I REPEAT! WE NEED YOUR SUPPORT!","FOXTROT UN À ÉQUIPE D'ARTILLERIE, IL NOUS FAUT VOTRE APPUI ! JE RÉPÈTE, BESOIN D'APPUI !","FOXTROT UNO A PELOTÓN DE ARTILLERÍA. ¡NECESITAMOS VUESTRO APOYO! REPITO: NECESITAMOS VUESTRO APOYO.","FOXTROT UNO A SQUADRA DI ARTIGLIERIA. CI SERVE IL VOSTRO SUPPORTO!"
STRC_07ar10,"WE ARE ON THE WAY","NOUS SOMMES EN ROUTE.","VAMOS DE CAMINO","STIAMO ANDANDO."
STRC_07an01,"US Army Stryker Squad Leader\n2nd Squad - 3rd Platoon - Bravo Company","US Army, chef de groupe Stryker\n2e groupe - 3e section - compagnie Bravo","Líder del pelotón Stryker del ejército de EE.UU\n\n2º pelotón – Sección 3ª– Compañía Bravo","Esercito USA, caposquadra Stryker\n2ª squadra, 3º plotone, compagnia Bravo"
STRC_07nm,"Into Enemy Territory","En territoire ennemi","En territorio enemigo","In territorio nemico"
STRC_07e01,"Mission Completed","Mission accomplie","Misión cumplida","Missione completata"
STRC_07e02,"Mission Failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STRC_07m01,"US BASE","BASE US","BASE ESTADOUNIDENSE","BASE USA"
STRC_07m02,"ARTILERY","ARTILLERIE","ARTILLERÍA","ARTIGLIERIA"
STRC_07m03,"SNIPER TEAM","ÉQUIPE SNIPERS","PELOTÓN FRANCOTIRADOR","SQUADRA CECCHINI"
STRC_07m04,"RASC Scout","Éclaireur CARS","Explorador del RASC","Esploratore CERS"
