LANGUAGE,"English","French","Spanish","Italian"


STRC_08r01,"November One to November Two. Get that engine running, but wait for the troops to finish boarding the transports.","November Un à November Deux. Lancez le moteur, mais attendez que les soldats aient fini d'embarquer dans les transports.","November Uno a November Dos. Arrancad ese motor, pero esperar a que embarquen las tropas.","November Uno a November Due. Tieni acceso il motore, ma aspetta che le truppe finiscano di salire a bordo."
STRC_08r02,"This is Oscar Two. We have all troops on board. Ready to move out.","Ici Oscar Deux. Tous les hommes sont à bord. Prêt à faire mouvement.","Aquí Oscar Dos. Todas las tropas a bordo. Listos para marchar.","Qui Oscar Due. Tutte le truppe a bordo. Pronti ad andarcene."
STRC_08r03,"November Two, you're deviating from course. Return to formation immediately!","November Deux, vous déviez de l'itinéraire. Reprenez immédiatement la formation !","November Dos, os desviáis de la ruta. ¡Volved inmediatamente a la formación!","November Due, ti stai allontanando dalla rotta. Ritorna subito in formazione!"
STRC_08r04,"November Two, this is your last warning. Return to formation, or you will be reported.","November Deux, dernier avertissement. Regagnez la formation ou vous aurez un rapport.","November Dos, es vuestro último aviso. Volved a la formación o daré parte.","November Due, questo è l’ultimo avvertimento. Ritorna immediatamente in formazione!"
STRC_08r05,"Oscar One and Two approaching the Tandag Base LZ. All units, prepare for insertion.","Oscar Un et Oscar Deux en approche de la LZ de la base Tandag. À toutes les unités, préparez-vous pour insertion.","Oscar Uno y Dos acercándose a la zona de aterrizaje de la base Tandag. Todas las unidades, preparadas para inserción","Oscar Uno e Due in avvicinamento alla zona d’atterraggio della Base Tandag. A tutte le unità, pronti all’inserzione."
STRC_08r06,"Both chalks on site. Oscar One and Two RTB.","Les deux unités sont sur site. Oscar Un et Deux rentrent à la base.","Ambos objetivos en el lugar. Oscar Uno y Dos, a la base.","Entrambe le unità sul posto. Oscar Uno e Due ritornano alla base."
STRC_08r07,"November Two, stay on site to provide support to the troops on the ground. Looks like they'll need it. I'm escorting Oscar Flight back to base. November One out.","November Deux, restez sur place pour appuyer les troupes au sol. On dirait qu'elles vont en avoir besoin. Je ramène la patrouille Oscar à la base. November Un, terminé.","November Dos, manteneos en la zona para apoyar a las tropas de tierra. Parece que van a necesitarlo. Vamos a escoltar al vuelo Oscar hasta la base. November Uno, corto.","November Due, resta in zona e aiuta le truppe a terra: ne hanno bisogno. Io sto scortando la pattuglia Oscar alla base. November Uno, chiudo."
STRC_08r08,"Tandag Base to November. Enemy troops are about to breach the perimeter. Focus your fire on the biggest troop concentrations or we won't be able to hold out much longer! Tandag Base out.","Base Tandag à November. L'ennemi est sur le point d'enfoncer le périmètre. Concentrez vos tirs sur les plus importants groupements ennemis ou nous ne tiendrons plus très longtemps ! Base Tandag, terminé.","Base Tandag a November. Las tropas enemigas están a punto de cruzar el perímetro. ¡Disparad a las principales concentraciones de tropas, si no no podremos resistir! Base Tandag, corto.","Base Tandag a November. Truppe nemiche stanno aprendo una breccia nel perimetro. Concentra il fuoco sul grosso delle truppe o non riusciremo a reggere ancora a lungo! Base Tandag chiudo."
