LANGUAGE,"English","French","Spanish","Italian"


STRC_09r01,"Paladin One to all squads. We're almost at Obregan. Check your weapons and get ready to deploy.","Paladin Un à tous les groupes. Nous sommes presque à Obregan. Vérifiez vos armes et soyez prêts à vous déployer.","Paladin Uno a todos los pelotones. Casi estamos en Obregan. Comprobad las armas y preparaos para el despliegue.","Paladin Uno a tutte le squadre. Siamo quasi a Obregan. Controllate le armi e state pronti."
STRC_09r02,"After taking the town, Foxtrot will proceed to the camp and round up all civilians. RACS troops will arrive a few minutes later to evacuate them from the region.","Une fois la ville prise, Foxtrot rejoindra le camp et rassemblera les civils. Les troupes du CARS arriveront quelques minutes plus tard pour les évacuer de la région.","Después de tomar la ciudad, Foxtrot continuará hasta el campamento y rodeará a los civiles. Las tropas del RACS llegarán minutos después para evacuarlos de la región.","Dopo aver preso il controllo della città, Foxtrot andrà al campo a radunare i civili. Le truppe dei CERS arriveranno pochi minuti dopo per evacuarli dalla regione."
STRC_09r03,"Once the RACS troops arrive, Foxtrot will join up again with the rest of the platoon. The attack on Bogango should commence shortly thereafter.","Après l'arrivée des forces du CARS, Foxtrot rejoindra le reste de la section. L'attaque contre Bagango commencera peu après.","Cuando hayan llegado las tropas del RACS, Foxtrot volverá a reunirse con el resto de la sección. El ataque sobre Bogango debería comenzar poco después.","Foxtrot si aggregherà al resto del plotone non appena le truppe dei CERS arriveranno. L’attacco a Bogango dovrebbe iniziare poco dopo."
STRC_09r04,"This is the big one people. Today we'll get even with the regime that started this war. Good luck. Paladin One out.","Cette fois, on frappe un grand coup. On va régler nos comptes avec le régime qui a lancé cette guerre. Bonne chance. Paladin Un, terminé.","Éste es el gran día. Hoy vamos a vengarnos del régimen que empezó esta guerra. Buena suerte. Paladin Uno, corto.","Gente, questa è la resa dei conti. Oggi la faremo pagare cara al regime che ha iniziato questa guerra. Paladin Uno, chiudo."
STRC_09r05,"Paladin One to Crossroad. Obregan has been secured. Out.","Paladin Un à Crossroad. Obregan est nettoyée. Terminé.","Paladin Uno a Crossroad. Obregan está asegurada. Corto.","Paladin Uno a Crossroad. Obregan è sotto controllo. Chiudo."
STRC_09r06,"Foxtrot One to Paladin. We're at the camp, and will start preparing the civilians for evacuation. Over.","Foxtrot Un à Paladin. Nous sommes au camp. On va commencer de préparer les civils en vue de l'évacuation, à vous.","Foxtrot Uno a Paladin. Estamos en el campamento, y pronto prepararemos a lso civiles para su evacuación. Cambio.","Foxtrot Uno a Paladin. Abbiamo raggiunto il campo e stiamo preparando i civili per l’evacuazione. Passo."
STRC_09r07,"Understood Foxtrot One. RACS troops should be there in a few minutes. Paladin One Out.","Compris, Foxtrot Un. Les troupes du CARS seront là dans quelques minutes. Paladin Un, terminé.","Recibido, Foxtrot Uno. Las tropas del RACS llegarán en unos minutos. Paladin Uno, Corto.","Ricevuto Foxtrot Uno. Le truppe dei CERS dovrebbero essere lì tra pochi minuti. Chiudo."
STRC_09v01,"What is this place? Some kind of prison camp?","C'est quoi, cet endroit ? Une sorte de camp de prisonniers ?","¿Qué es esto? ¿Un campamento de prisioneros?","Che posto è questo? Un campo di prigionia?"
