LANGUAGE,"English","French","Spanish","Italian"


STR_M01_NAME,"The Hotel","L'hôtel","El hotel","L’hotel"
STR_M01_OnLoad,"Kill enemy officer.","Abattre l'officier ennemi.","Mata al oficial enemigo","Uccidi l’ufficiale nemico."
STR_M01n10,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M01n11,"Mission Failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M14n20,"Kill enemy officer","Abattre l'officier ennemi","Mata al oficial enemigo","Uccidi l’ufficiale nemico"
STR_M01n31,"HIDE NEAR THE HOTEL","SE CACHER PRÈS DE L'HÔTEL","ESCÓNDETE CERCA DEL HOTEL","NASCONDITI VICINO ALL’HOTEL"
STR_M01n32,"WAIT FOR ENEMY OFFICER","ATTENDRE L'OFFICIER ENNEMI","ESPERA AL OFICIAL ENEMIGO","ASPETTA L’UFFICIALE NEMICO"
STR_M01n33,"KILL THE OFFICER","TUER L'OFFICIER","MATA AL OFICIAL","UCCIDI L’UFFICIALE"
STR_M01n34,"RUN TO EXTRACTION POINT","COURIR VERS LE POINT D'EXTRACTION","CORRE AL PUNTO DE EXTRACCIÓN","CORRI VERSO IL PUNTO D’ESTRAZIONE"
STR_M01n35,"OPPORTUNITY LOST","OCCASION MANQUÉE","OPORTUNIDAD PERDIDA","OCCASIONE MANCATA"
STR_M01n36,"HOTEL","HÔTEL","HOTEL","HOTEL"
STR_M01n37,"INSERTION POINT","POINT D'INSERTION","PUNTO DE INSERCIÓN","PUNTO D’INSERZIONE"
STR_M01n38,"EXTRACTION POINT","POINT D'EXTRACTION","PUNTO DE EXTRACCIÓN","PUNTO D’ESTRAZIONE"
STR_M01n39,"GUARDING CAMPS","CAMPEMENTS DE GARDE","CAMPAMENTOS DE GUARDIA","CAMPI DI GUARDIA"
STR_M01n40,"HIDE & KILL","SE CACHER & TUER","ESCONDERSE Y MATAR","NASCONDITI E UCCIDI"
STRC_M01_NCOMPLETED,"Mission failed\nToo many enemy soldiers reached the base","Échec de la mission\nTrop de soldats ennemis ont rejoint la base","La misión ha fracasado\nDemasiados enemigos llegaron a la base","Missione fallita\nTroppi nemici hanno raggiunto la base"
