LANGUAGE,English,French,Italian,Spanish,German, Comment

STR_M02_Name,"Convoy Ambush",Description only

--------- Titles --------,,
STR_M02n01,Insertion point,Marker
STR_M02n02,"Extraction Point",Marker
STR_M02n03,"Mine",Marker
STR_M02n04,"Base",Marker

STR_M02n10,Mission completed,Title
STR_M02n11,Mission Failed,Title

STR_M02n20,"Hidden near the road",PreBriefing

STR_M02n21,DESTROY CONVOY,Waypoint
STR_M02n22,"EXTRACTION POINT",Waypoint
STR_BM02n23,"You have been detected.\n\nThe convoy is diverting to route B.",Hint
