LANGUAGE,"English","French","Spanish","Italian"


STR_M03_Name,"Awakening","Réveil","Despertar","Risveglio"
STRD_M03_OnLoad,"US Base under heavy attack","Base US lourdement attaquée","Fuerte ataque a la base estadounidense","Base USA sotto attacco"
STR_M03n01,"Fast as you can.","Le plus vite possible.","Lo más rápido que puedas.","Il più veloce possibile."
STR_M03n02,"Remaining Time - %1:%2%3 min","Temps restant : %1:%2%3 min","Tiempo restante - %1:%2%3 min.","Tempo rimasto - %1:%2%3 min"
STR_M03n03,"Under 4 minutes left","Il reste moins de 4 minutes","Quedan menos de 4 minutos","Meno di 4 minuti rimasti"
STR_M03n04,"Under 3 minutes left","Il reste moins de 3 minutes","Quedan menos de 3 minutos","Meno di 3 minuti rimasti"
STR_M03n05,"Under 2 minutes left","Il reste moins de 2 minutes","Quedan menos de 2 minutos","Meno di 2 minuti rimasti"
STR_M03n06,"Under 1 minutes left","Il reste moins d'une minute","Quedan menos de 1 minutos","Meno di 1 minuto rimasto"
STR_M03n07,"30 seconds left","Il reste 30 secondes","Quedan 30 segundos","30 secondi rimasti"
STR_M03n08,"10 seconds left","Plus que 10 secondes !","Quedan 10 segundos","10 secondi rimasti"
STR_M03n09,"FAILED!","ÉCHEC !","¡HA FRACASADO!","INSUCCESSO!"
STR_M03w01,"HELP WITH DEFENCE","AIDER À LA DÉFENSE","AYUDA CON LA DEFENSA","AIUTA LA DIFESA"
STR_M03w02,"GET IN THE TRUCK","MONTER DANS LE CAMION","SUBE AL CAMIÓN","SALI SUL CAMION"
STR_M03w03,"LOAD BRAVO TEAM","EMBARQUER L'ÉQUIPE BRAVO","CARGA AL PELOTÓN BRAVO","CARICA LA SQUADRA BRAVO"
STR_M03w04,"BACK TO RASHIDAS","REGAGNER RASHIDAH","DE VUELTA A RASHIDAH","TORNA A RASHIDAH"
STR_M03w05,"BEAT THE ENEMY","BATTRE L'ENNEMI","DERROTA AL ENEMIGO","SCONFIGGI IL NEMICO"
STR_M03w06,"GET IN AS DRIVER","MONTER AU VOLANT","MÓNTATE COMO CONDUCTOR","SALI COME GUIDATORE"
STR_M03m01,"Pick up the Bravo Team","Ramasser l'équipe Bravo","Recoge al pelotón Bravo","Preleva la squadra Bravo"
STR_M03m02,"US Base at Rashidah","Base US de Rashidah","Base estadounidense de Rashidah","Base USA a Rashidah"
STR_M03m03,"Barracks","Caserne","Cuartel","Baraccamento"
STR_M03m04,"Attack","Attaque","Ataque","Attacco"
STR_M03m06,"US Base at airport","Base US à l'aéroport","Base estadounidense del aeropuerto","Base USA presso aeroporto"
STR_M03r01,"Everyone, defend the base! We're under heavy fire!","À tous, défendez la base ! On reçoit des tirs intenses !","¡Todo el mundo a defender la base! ¡Sufrimos un fuerte ataque!","Difendete la base! Siamo sotto attacco pesante!"
STR_M03r02,"Golf to Crossroad, we can't hold out much longer! We request reinforcements! Over.","Golf à Crossroad, on ne va plus tenir longtemps ! Demandons des renforts, à vous !","Golf a Crossroad, ¡no podemos aguantar mucho más! ¡Necesitamos refuerzos! Cambio.","Golf a Crossroad, non possiamo resistere per molto! Ci servono rinforzi! Passo."
STR_M03r03,"Crossroad to Golf, bravo team is ready near the city of Paraiso. However at the moment we have no available transport for them. Over.","Crossroad à Golf, l'équipe Bravo est prête près de la ville de Paraiso, mais nous n'avons pour l'instant pas de quoi la transporter, à vous.","Crossroad a Golf, el pelotón Bravo está listo cerca de la ciudad de Paraísom, pero aún no tienen medio de transporte. Cambio.","Crossroad a Golf, la squadra Bravo è vicina alla città di Paraiso, ma al momento non abbiamo mezzi di trasporto disponibili. Passo."
STR_M03r04,"Golf to Crossroad, we're sending a truck for them. Inform the Bravo team. Over.","Golf à Crossroad, on lui envoie un camion. Informez l'équipe Bravo, à vous.","Golf a Crossroad, les enviamos un camión. Informad al pelotón Bravo. Cambio.","Golf a Crossroad, un veicolo sta andando a prenderli. Informateli. Passo."
STR_M03r05,"Bravo to Foxtrot, we're all on board. Let's go!","Bravo à Foxtrot, on est tous à bord. En route !","Bravo a Foxtrot, ya hemos montado. ¡En marcha!","Bravo a Foxtrot, siamo a bordo. Andiamo!"
STR_M03r06,"Golf to Foxtrot, where are you? We can't hold on much longer. Over. You have 4 minutes soldier, then we will have to leave our positions in the base.","Golf à Foxtrot, où êtes-vous ? On ne peut plus tenir, à vous. Vous avez 4 minutes, soldat. Ensuite, on devra abandonner nos positions dans la base.","Golf a Foxtrot, ¿dónde estáis? No podemos aguantar mucho más. Cambio. Sodado, tienes 4 minutos antes de que tengamos que abandonar nuestras posiciones en la base.","Golf a Foxtrot, dove siete? Non possiamo resistere a lungo. Passo. Soldati, avete 4 minuti, poi dovremo lasciare le nostre posizioni nella base."
STR_M03r07,"Hold still, Captain. I'm on my way. I think I can make it!","Tenez bon, capitaine. Je suis en route. Je crois que je peux y arriver.","Aguanta, capitán. Voy de camino. ¡Creo que lo conseguiré!","Resistete, capitano. Sto arrivando! Ce la posso fare!"
STR_M03r08,"Sorry, Sir. I'm unable to make it in time.","Désolé, je ne serai pas là à temps.","Lo siento, señor. No llego a tiempo.","Mi dispiace, signore. Non ce la faccio."
STR_M03r09,"Golf to Foxtrot, move to Airport base. We're leaving our positions.","Golf à Foxtrot, rejoignez la base de l'aéroport. On quitte nos positions.","Golf a Foxtrot, id a la base del aeropuerto, abandonamos posiciones.","Golf a Foxtrot, muovetevi verso l’aeroporto. Stiamo abbandonando le posizioni."
