LANGUAGE,"English","French","Spanish","Italian"


STR_M04_S08_Name,"Saboteur","Saboteur","Saboteador","Sabotatore"
STR_M04_S08_LEAVE,"I am straying out of the mission area. Do I really want to do this?","Je m'éloigne de la zone de mission. J'y tiens vraiment ?","Me estoy desviando de la zona de la misión. ¿Es esto lo que quiero hacer?","Mi sto allontanando dall’area della missione. Lo voglio davvero?"
STRD_M04_S08_OnLoad,"Destroy the tanks","Détruire les chars","Destruye los tanques","Distruggi i carri armati"
STRD_M04_S08_Desc,"Destroy the tanks","Détruire les chars","Destruye los tanques","Distruggi i carri armati"
STR_M0408n1,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M0408n2,"Mission failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M04_S08_w01,"SNEAK TO THE BASE","SE FAUFILER JUSQU'À LA BASE","LLEGA SIGILOSAMENTE A LA BASE","INTRUFOLATI NELLA BASE"
STR_M04_S08_w02,"PLACE THE SATCHEL CHARGES","PLACER LES CHARGES EN SACOCHE","COLOCA LAS CARGAS CONCENTRADAS","PIAZZA LE CARICHE ESPLOSIVE"
STR_M04_S08_w03,"BLOW UP THE TARGETS","FAIRE SAUTER LES CIBLES","VUELA LOS OBJETIVOS","DISTRUGGI GLI OBIETTIVI"
STR_M04_S08_w04,"LEAVE THE AREA","QUITTER LA ZONE","ABANDONA LA ZONA","ABBANDONA L’AREA"
STR_M08_S08_m01,"TANKS","CHARS","TANQUES","CARRI ARMATI"
STR_M08_S08_m02,"Insertion point","Point d'insertion","Punto de inserción","Punto d’inserzione"
STR_M08_S08_m03,"Extraction point","Point d'extraction","Punto de extracción","Punto d’estrazione"
STR_M08_S08_m04,"Enemy base","Base ennemie","Base enemiga","Base nemica"
STR_M08_S08_m05,"Guards","Gardes","Guardias","Guardie"
STR_M08_S08_m06,"Reinforcements","Renforts","Refuerzos","Rinforzi"
