LANGUAGE,"English","French","Spanish","Italian"


STR_M06_Name,"Chopper Transport","Transport héliporté","Transporte en helicóptero","Trasporti via elicottero"
STR_M06_OnLoad,"Fly in with the reinforcements","Acheminer les renforts","Vuela con los refuerzos","Porta i rinforzi"
STR_M06n01,"Proceed as quickly as possible.","Agir au plus vite","Continúa lo más rápido posible.","Procedi più veloce che puoi."
STR_M06e01,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M06e02,"Mission Failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M06n02,"Remaining Time - %1:%2%3 min","Temps restant : %1:%2%3 min","Tiempo restante - %1:%2%3 min","Tempo rimasto - %1:%2%3 min"
STR_M06n02b,"Remaining Time: %1m. %2s.","Temps restant : %1 min %2 s","Tiempo restante: %1m. %2s.","Tempo rimasto: %1 min %2 s"
STR_M06h01,"Less than 6 minutes remaining.","Il reste moins de 6 minutes.","Quedan menos de 6 minutos.","Rimangono meno di 6 minuti."
STR_M06h02,"Less than 5 minutes remaining.","Il reste moins de 5 minutes.","Quedan menos de 5 minutos.","Rimangono meno di 5 minuti."
STR_M06h03,"Less than 4 minutes remaining.","Il reste moins de 4 minutes.","Quedan menos de 4 minutos.","Rimangono meno di 4 minuti."
STR_M06h04,"Less than 3 minutes remaining.","Il reste moins de 3 minutes.","Quedan menos de 3 minutos.","Rimangono meno di 3 minuti."
STR_M06h05,"Only 2 minutes remaining.","Plus que 2 minutes.","Quedan menos de 2 minutos.","2 minuti rimasti."
STR_M06h06,"Less than 1 minute, go go go!!!","Il reste moins d'une minute, go, go, go !","¡¡¡Menos de 1 minuto, venga, venga!!!!","Meno di 1 minuto, veloce!!!"
STR_M06h07,"The enemy strikes! Try to avoid being shot down when you land there.","L'ennemi a lancé son attaque ! Évitez d'être touché quand vous vous poserez !","¡El enemigo ataca! Evita ser derribado al aterrizar.","Il nemico sta sparando! Evita di venir abbattuto mentre cerchi di atterrare."
STR_M06w01,"RENDEZVOUS POINT","POINT DE JONCTION","PUNTO DE ENCUENTRO","PUNTO D’INCONTRO"
STR_M06w02,"DELIVERY POINT","DESTINATION","PUNTO DE ENTREGA","DESTINAZIONE"
