LANGUAGE,"English","French","Spanish","Italian"


STR_M10_Name,"Armored Fist","Poing blindé","Puño armado","Pugno blindato"
STR_M10_OnLoad,"Armored forces prepare for battle","Les forces blindées se préparent à attaquer","Las fuerzas blindadas se preparan para la batalla","Le forze blindate si preparano alla battaglia"
STR_M10_Desc,"Armored forces attack","Attaque de forces blindées","Las fuerzas blindadas atacan","Attacco forze blindate"
STRCAMP_w1,"SEIZE 1ST ENEMY BASE","PRENDRE LA 1E BASE ENNEMIE","TOMA LA 1ª BASE ENEMIGA","PRENDI LA BASE NEMICA 1"
STRCAMP_w2,"SEIZE 2ND ENEMY BASE","PRENDRE LA 2E BASE ENNEMIE","TOMA LA 2ª BASE ENEMIGA","PRENDI LA BASE NEMICA 2"
STRCAMP_w3,"HOLD THE BASE","TENIR LA BASE","AGUANTA LA BASE","MANTIENI LA BASE"
STRCAMP_m1,"Conquer the base","S'emparer de la base","Conquista la base","Conquista la base"
STRCAMP_m2,"Seize and hold","Prendre et tenir","Conquista y defiende","Prendi e mantieni"
STRCAMP_m3,"Support","Soutien","Apoyo","Supporto"
STRCAMP_m4,"Reinforcements enroute","Renforts en route","Refuerzos en camino","Rinforzi in arrivo"
STRCAMP_m5,"Insertion point","Point d'insertion","Punto de inserción","Punto d’inserzione"
STRCAMP_m6,"Landing point","Point d'arrivée","Punto de aterrizaje","Punto d’atterraggio"
STRCAMP_r1,"Support","Soutien","Apoyo","Supporto"
STRCAMP_r2,"Call for support","Appeler un soutien","Pide ayuda","Richiedi supporto"
STRCAMP_END,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STRCAMP_FAILED,"Mission failed","Échec de la mission","La misión ha fracasado","Missione fallita"
