LANGUAGE,"English","French","Spanish","Italian"


STR_M14_Name,"Construction convoy","Convoi de construction","Convoy de construcción","Convoglio di costruzione"
STR_M14_OnLoad,"Surprise in the city","Surprise en ville","Sorpresa en la ciudad","Sorpresa in città"
STR_M14n01,"Boat","Bateau","Barco","Imbarcazione"
STR_M14n02,"Hidden ammunition","Munitions cachées","Munición oculta","Munizioni nascoste"
STR_M14n03,"Base","Base","Base","Base"
STR_M14n04,"Future base at Geraldo","Future base à Geraldo","Base futura de Geraldo","Base futura a Geraldo"
STR_M14n05,"Wait for convoy","Attendre le convoi","Espera al convoy","Aspetta il convoglio"
STR_M14n06,"Enemy reinforcements","Renforts ennemis","Refuerzos enemigos","Rinforzi nemici"
STR_M14n07,"Scounting point","Point de reco","Punto de exploración","Punto di ricognizione"
STR_M14n10,"Mission completed","Mission accomplie","Misión cumplida","Missione completata"
STR_M14n11,"Mission Failed","Échec de la mission","La misión ha fracasado","Missione fallita"
STR_M14n20,"Surprise in the city","Surprise en ville","Sorpresa en la ciudad","Sorpresa in città"
STR_M14n21,"DESTROY THE CONVOY","DÉTRUIRE LE CONVOI","DESTRUYE EL CONVOY","DISTRUGGI IL CONVOGLIO"
STR_M14n22,"GET IN THE BOAT","GRIMPER DANS LE BATEAU","SUBE A LA BARCA","SALI SULL’IMBARCAZIONE"
STR_M14n24,"PREPARE YOUR SABOTAGE","PRÉPARER LE SABOTAGE","PREPARA TU SABOTAJE","PREPARA IL SABOTAGGIO"
