LANGUAGE,"English","French","Spanish","Italian"


STR_M15_NAME,"Ammunition Dumps","Dépôts de munitions","Depósitos de munición","Depositi di munizioni"
STR_M15_OnLoad,"You are the guardian, don’t fall asleep.","Vous en assurez la garde, pas question de s'endormir.","Eres el guardian, no te duermas.","Sei il guardiano, non addormentarti."
STR_M15w01,"PATROL","PATROUILLE","PATRULLA","PATTUGLIA"
STR_M15m01,"DUMP 1","DÉPÔT DE MUNITIONS 1","ALMACÉN 1","DEPOSITO DI MUNIZIONI 1"
STR_M15m02,"DUMP 2","DÉPÔT DE MUNITIONS 2","ALMACÉN 2","DEPOSITO DI MUNIZIONI 2"
STR_M15m03,"DUMP 3","DÉPÔT DE MUNITIONS 3","ALMACÉN 3","DEPOSITO DI MUNIZIONI 3"
STR_M15h01,"You’ve lost one ammo dump.","Vous avez perdu un dépôt de munitions.","Has perdido un depósito de munición.","Un deposito di munizioni è stato distrutto."
STR_M15h02,"You’ve lost another ammo dump.","Vous avez perdu un autre dépôt de munitions.","Has perdido otro depósito de munición.","Un altro deposito di munizioni è stato distrutto."
STR_M15h03,"You’ve lost all of the ammo dumps. Mission Failed.","Vous avez perdu tous les dépôts de munitions. Échec de la mission.","Has perdido todos lso depósito de munición. La  misión ha fracasado.","Tutti i depositi di munizioni sono stati distrutti. Missione fallita."
STR_M15h04,"Mission Completed","Mission accomplie","Misión cumplida","Missione completata"
