LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nThe invasion of the Kingdom of South Sahrani has begun.\n\nAlthough we still have no idea why that happened, the enemy forces attacked the country two hours ago. We had to pull back.\n\n\nTHIS IS A STRATEGIC MAP. YOU CAN SEE AN OVERVIEW OF THE SITUATION AFTER EVERY MISSION. YOU CAN CHOOSE YOUR NEXT OPERATION HERE BY CLICKING ON APPROPRIATE ICONS - AUXILIARY MISSIONS WILL USUALLY HELP YOU WITH MAIN MISSIONS.","\nL'invasion du royaume de Sahrani du Sud a commencé.\n\nMême si nous manquons d'une vue d'ensemble, nous savons que l'ennemi a attaqué le pays il y a deux heures. Nous avons dû nous replier.\n\n\nVOICI LA CARTE STRATÉGIQUE. ELLE PRÉSENTE UN APERÇU DE LA SITUATION À L'ISSUE DE CHAQUE MISSION. VOUS POURREZ CHOISIR ICI L'OPÉRATION SUIVANTE EN CLIQUANT SUR L'ICÔNE APPROPRIÉE. LES MISSIONS AUXILIAIRES FACILITENT SOUVENT L'EXÉCUTION DES MISSIONS PRINCIPALES.","\nLa invasión del Reino de Sahrani del Sur ha comenzado.\n\nAunque aún no sabemos por qué ha sucedido, las fuerzas enemigas atacaron la ciudad hace dos horas. Hemos tenido que retirarnos.\n\n\nÉSTE ES EL MAPA ESTRATÉGICO. DESDE AQUÍ, SE PUEDE VER LA SITUACIÓN GENERAL DESPUÉS DE CADA MISIÓN. PUEDES ELEGIR AQUÍ LA SIGUIENTE OPERACIÓN HACIENDO CLIC EN EL ICONO CORRESPONDIENTE; LAS MISIONES AUXILIARES PODRÍAN AYUDARTE CON LA MISIÓN PRINCIPAL.","\nL’invasione del Regno di Sahrani del Sud è cominciata.\n\nAnche se non sappiamo ancora perché è successo, due ore fa le forze nemiche hanno attaccato il Paese. Ci siamo dovuti ritirare.\n\n\nQUESTA È UNA MAPPA STRATEGICA. DOPO OGNI MISSIONE OFFRE UNA VISIONE D’INSIEME. PUOI SCEGLIERE L’OPERAZIONE SUCCESSIVA SELEZIONANDO L’ICONA APPROPRIATA. SONO PRESENTI ANCHE MISSIONI SECONDARIE OPZIONALI CHE TI AIUTERANNO NELLA MISSIONE PRINCIPALE."
STRC_CUI_MSNAME_1,"SNIPER","SNIPER","FRANCOTIRADOR","CECCHINO"
STRC_CUI_MSNAME_2,"DIRECT HIT","COUP DIRECT","GOLPE DIRECTO","COLPO DIRETTO"
STRC_CUI_MSNAME_3,"BEATEN DOG","CHIEN BATTU","PERRO APALEADO","CANE BASTONATO"
STRC_CUI_OVER_1,"AUXILIARY OPERATION - There is a convoy full of soldiers heading out to enemy positions from their reinforcement base. Your task is to climb a water tower and when the convoy passes by, shoot as many as you can.","OPÉRATION AUXILIAIRE - Un convoi ennemi chargé de soldats a quitté leur base arrière pour rejoindre des positions sur le terrain. Grimpez dans le château d'eau et abattez le plus de soldats possible au passage de ce convoi.","OPERACIÓN AUXILIAR - Hay un convoy lleno de soldados que se dirige a posiciones enemigas desde su base de refuerzos. Deberás escalar una torre de agua y, cuando pase el convoy, disparar a todos los que puedas.","OPERAZIONE SECONDARIA - Un convoglio pieno di soldati, proveniente dalla base di rinforzo, si sta dirigendo verso le posizioni nemiche. Il tuo compito è di salire su di una cisterna d’acqua e, quando il convoglio ti passa di fianco, sparargli contro."
STRC_CUI_OVER_2,"AUXILIARY OPERATION - Enemy forces regroup at the city of Corazol.  It's obvious that SLAs are planning to attack us with their full armored power, so your task is to use the night to find it and destroy it.","OPÉRATION AUXILIAIRE - Des forces ennemies se regroupent dans la ville de Corazol. L'ALS se prépare manifestement à lancer contre nous tous ses moyens blindés. Vous devez les trouver et les détruire.","OPERACIÓN AUXILIAR - Las fuerzas enemigas se reagrupan en la ciudad de Corazol. Está claro que el SLA planea atacarnos con todos sus blindajes, así que deberás aprovechar la oscuridad de la noche para encontrarlos y destruirlos.","OPERAZIONE SECONDARIA - Le forze nemiche si stanno raggruppando presso Corazol. È ovvio che l’ELS sta pensando di attaccarci con tutti i blindati a disposizione. Il tuo compito è di trovarli e distruggerli sfruttando l’oscurità della notte."
STRC_CUI_OVER_3,"MAIN OPERATION - The enemy has broken through at Corazol and now they are pushing South. Our task is to stop them at all costs. Our troops are positioned near Ortego, ready to receive the enemy assault.","OPÉRATION PRINCIPALE - L'ennemi a percé à Corazol et se dirige maintenant vers le sud. Nous devons à tout prix l'arrêter. Nos troupes sont en position près d'Ortego, prêtes à subir l'assaut ennemi.","OPERACIÓN PRINCIPAL - El enemigo ha entrado en Corazol y está presionando hacia el sur. Debemos detenerles a toda costa. Nuestras tropas están cerca de Ortego, preparadas para recibir el asalto enemigo.","OPERAZIONE PRINCIPALE - Il nemico ha oltrepassato Corazol e si sta spingendo verso sud. Il nostro compito è di fermarlo a tutti i costi. Le nostre truppe si trovano presso Ortego, pronte a ricevere l’assalto nemico."
STRC_CUI_CONS_1,"\n+The enemy will have fewer units at their disposal.\n\n-none.","\n+ L'ennemi disposera de moins d'unités.\n\n- néant.","\n+El enemigo tendrá menos unidades a su disposición.\n\n-ninguno.","\n+Il nemico avrà meno unità a disposizione.\n\n-niente."
