LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nEnemy forces operating from Ortego are pushing us back. We're regrouping in Dolores, ready for enemy attack.\n\n\nYou can choose only one support mission as both of them will happen at the same time – so choose wisely.","\nLes forces ennemies intervenant depuis Ortego nous repoussent. Nous nous regroupons à Dolores, prêts pour l'attaque ennemie.\n\n\nVous ne pourrez choisir qu'une seule mission de soutien car les deux se dérouleront simultanément, alors ne vous trompez pas...","\nLas fuerzas enemigas de Ortego nos están haciendo retroceder. Nos estamos reagrupando en Dolores, preparados para el ataque enemigo.\nSólo puedes elegir una misión de apoyo, pues las dos tienen lugar al mismo tiempo, así que elige bien.","\nLe forze nemiche di stanza ad Ortego ci stanno respingendo. Ci stiamo raggruppando presso Dolores, pronti all’attacco nemico.\n\n\nPuoi scegliere una sola missione di supporto dato che entrambe inizieranno allo stesso momento: scegli con saggezza."
STRC_CUI_MSNAME_1,"UNSURROUNDING","DÉGAGEMENT","SIN RODEOS","TOGLIERE L’ASSEDIO"
STRC_CUI_MSNAME_2,"SABOTAGE","SABOTAGE","SABOTAJE","SABOTAGGIO"
STRC_CUI_MSNAME_3,"OPERATION DOLORES","OPÉRATION DOLORES","OPERACIÓN DOLORES","OP. DOLORES"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nThe SLAs are surrounding us at camps north of Dolores. Your main task is to command two HMMWVs and clear all sectors from enemies. Secondary task is to search for other hidden camps.","\nOPÉRATION AUXILIAIRE\n\nL'ALS nous cerne grâce à des campements installés au nord de Dolores. Votre tâche principale consiste à commander deux HMMWV et à nettoyer le secteur de la présence ennemie identifiée. L'objectif secondaire est de rechercher d'autres campements cachés.","\nOPERACIÓN AUXILIAR\n\nEl SLA nos está rodeando en los campamentos al norte de Dolores. Tu principal objetivo es ponerte el mando de dos HMMWV y despejar el sector de toda presencia enemiga. El objetivo secundario es buscar más campamentos ocultos.","\nOPERAZIONE SECONDARIA\n\nL’ELS ci sta circondando con degli accampamenti installati a nord di Dolores. Il tuo compito principale è quello di comandare due HMMWV e ripulire il settore dai nemici. Il compito secondario è di scovare altri campi nascosti."
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nPrepare your sabotage in the city and destroy the ural trucks in the convoy.","\nOPÉRATION AUXILIAIRE\n\nPréparez votre sabotage dans la ville et détruisez les camions Ural du convoi.","\nOPERACIÓN AUXILIAR\n\nPrepara tu sabotaje en la ciudad y destruye los camiones Ural del convoy.","\nOPERAZIONE SECONDARIA\n\nPrepara il sabotaggio in città e distruggi i camion Ural del convoglio."
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\nA large-scale ambush is being prepared for the SLA armored force moving South from Ortego.","\nOPÉRATION PRINCIPALE\n\nUne embuscade d'envergure est en cours de préparation contre les forces de l'ALS allant au sud depuis Ortego.","\nOPERACIÓN PRINCIPAL\n\nSe está preparando una emboscada a gran escala para los blindajes del SLA que avanzan hacia el sur desde Ortego.","\nOPERAZIONE PRINCIPALE\n\n È stata preparata un’imboscata contro i blindati dell’ELS provenienti da Ortego e diretti a sud."
STRC_CUI_CONS_1,"\n+They are not expecting us.\n\n-More enemy soldiers are hiding in woods.","\n+ Ils ne nous attendent pas.\n\n- Des soldats ennemis sont cachés dans les bois.","\n+No nos esperan.\n\n-Hay más soldados enemigos escondidos en el bosque.","\n+Non ci stanno aspettando.\n\n-Alcuni soldati nemici sono nascosti nei boschi."
STRC_CUI_CONS_2,"\n+Enemy is not expecting us, we have a secret ally in the city.\n\n-Enemy reinforcements should be there really soon.","\n+ L'ennemi ne nous attend pas et nous avons un allié secret en ville.\n\n- Des renforts ennemis devraient être là très bientôt.","\n+El enemigo no nos espera, tenemos un aliado secreto en la ciudad.\n\n-Los refuerzos enemigos llegarán muy pronto.","\n+Il nemico non ci sta aspettando e abbiamo un alleato segreto in città.\n\n- I rinforzi nemici dovrebbero arrivare molto presto."
STRC_CUI_CONS_3,"\n-The enemy will have some artillery support.\n\n-We will have fewer units at our disposal.","\n- L'ennemi aura un appui d'artillerie.\n\n- Nous disposerons de moins d'unités.","\n-El enemigo contará con refuerzos de artillería.\n\n-Tendremos menos unidades disponibles.","\n-Il nemico avrà artiglieria di supporto.\n\n-Noi avremo meno unità a disposizione."
