LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nEnemy forces now control two thirds of the Island.\n\nThe SLA are pushing us hard, the men are exhausted, hurt and scared, but we must hold on, we will hold on until our reinforcements arrive, probably tomorrow. Let's just hope there are some of us still alive here to meet them.","L'ennemi contrôle maintenant les deux tiers de l'île.\n\n L'ALS attaque sans relâche, les hommes sont épuisés, blessés et effrayés, mais il faut tenir, au moins jusqu'à l'arrivée de renforts. Ils seront probablement là demain. Espérons qu'il restera quelques-uns d'entre nous pour les accueillir...","\nLas fuerzas enemigas ya controlan dos tercios de la isla.\n\nEl SLA nos está presionando mucho, los hombres están agotados, heridos y asustados, pero debemos resistir hasta que lleguen los refuerzos, probablemente mañana. Esperemos que sigamos algunos vivos para recibirles.","\nLe forze nemiche controllano i due terzi dell’isola.\n\nL’ELS ci sta mettendo duramente alla prova: gli uomini sono esausti, feriti e spaventati, ma dobbiamo resistere! Resisteremo fino a che non arriveranno i rinforzi, probabilmente domani. Speriamo solo che qualcuno di noi sarà ancora vivo per incontrarli."
STRC_CUI_MSNAME_1,"SANITIZE","NETTOYAGE","OPERACIÓN DE SANEAMIENTO","OP. DI PULIZIA"
STRC_CUI_MSNAME_2,"THE HOTEL","L'HÔTEL","EL HOTEL","L’HOTEL"
STRC_CUI_MSNAME_3,"BATTLE OF SOMATO","BATAILLE DE SOMATO","BATALLA DE SOMATO","BATT. SOMATO"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nSpecial forces unit is preparing to cleanse the area of unwelcome SLA occupants. You are one of those highly trained soldiers.","\nOPÉRATION AUXILIAIRE\n\nUne unité de forces spéciales se prépare à nettoyer le secteur de ses occupants de l'ALS. Vous faites partie de cette unité d'élite.","\nOPERACIÓN AUXILIAR\n\nLa unidad de fuerzas especiales se está preparando para despejar la zona de visitantes indeseables del SLA. Tú eres uno de estos soldados especiales.","\nOPERAZIONE SECONDARIA\n\nUn’unità di forze speciali si sta preparando a ripulire l’area dagli occupanti dell’ELS. Tu sei uno di quei soldati altamente addestrati."
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nOne of the SLAs best officers is going to visit the Vida hotel near Vallejo. Go there and shoot him down.","\nOPÉRATION AUXILIAIRE\n\nL'un des meilleurs officiers de l'ALS doit séjourner à l'hôtel Vida, près de Vallejo. Allez là-bas et abattez-le.","\nOPERACIÓN AUXILIAR\n\n Uno de los mejores oficiales del SLA va a visitar el hotel Vida cerca de Vallejo. Ve y mátale.","\nOPERAZIONE SECONDARIA\n\nUno degli ufficiali di punta dell’ELS si recherà all’hotel Vida vicino a Vallejo. Vai lì e uccidilo"
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\nAs expected, the SLA forces are trying to push Northward during the night. Stop them!","\nOPÉRATION PRINCIPALE\n\nComme prévu, les forces de l'ALS tentent de pousser vers le nord pendant la nuit. Il faut les arrêter !","\nOPERACIÓN PRINCIPAL\n\nComo esperábamos, el SLA intenta avanzar hacia el norte durante la noche. ¡Detenles!","\nOPERAZIONE PRINCIPALE\n\nCome ci si aspettava, le forze dell’ELS stanno cercando di spingersi a nord sfruttando l’oscurità. Fermali!"
STRC_CUI_CONS_1,"\n+The enemy will not have one of the bases fully operational.\n\n-The enemy will be able to draw on the aid of two armored patrols.","\n+ L'une des bases ennemies ne sera pas entièrement opérationnelle.\n\n- L'ennemi pourra obtenir l'aide de deux patrouilles blindées.","\n+Una de las bases enemigas no estará completamente operativa.\n\n-El enemigo podrá contar con la ayuda de dos patrullas blindadas.","\n+Una delle basi nemiche non sarà completamente operativa.\n\n-Il nemico potrà contare sull’aiuto di due pattuglie blindate."
STRC_CUI_CONS_2,"\n+One armored patrol will be unavailable to the enemy.\n\n-We should expect the enemy bases to be at full strength.","\n+ L'ennemi ne pourra pas disposer d'une de ses patrouilles blindées.\n\n- Les bases ennemies seront à plein potentiel.","\n+El enemigo no podrá contar con una de las patrullas blindadas.\n\n-Se espera que las bases enemigas tengan la fuerza máxima.","\n+Una delle pattuglie blindate nemiche non sarà a disposizione.\n\n-Le basi nemiche disporranno di tutto il loro potenziale."
STRC_CUI_CONS_3,"\n- The enemy will be able to draw on the aid of two armored patrols.\n\n- We should expect the enemy bases to be at full strength.","\n- L'ennemi pourra obtenir l'aide de deux patrouilles blindées.\n\n- Les bases ennemies seront à plein potentiel.","\n- El enemigo podrá contar con la ayuda de dos patrullas blindadas.\n\n- Debemos esperar que las bases enemigas cuenten con la fuerza máxima.","\n- Il nemico potrà contare sull’aiuto di due pattuglie blindate.\n\n- Le basi nemiche disporranno di tutto il loro potenziale."
