LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nThe situation is improving a little, the enemy has gained further ground but we still hold key areas such as the capital city and airport and we have faith that reinforcements will come.\n\nWe expect reinforcements in one or two days, so our only task now is to hang in there.","\nLa situation s'améliore un peu : l'ennemi a encore gagné du terrain, mais nous conservons les positions clés que sont la capitale et l'aéroport et tout laisse penser que des renforts seront bientôt là.\n\nIls devraient arriver d'ici un à deux jours, alors il nous suffit de nous accrocher à ce qu'on tient.","\nLa situación está mejorando un poco; el enemigo ha ganado terreno, pero aún tenemos zonas clave, como la capital y el aeropuerto, y confiamos en que los refuerzos lleguen pronto.\n\nEsperamos que llegen refuerzos en uno o dos días, así que lo único que tenemos que hacer es resistir.","\nLa situazione è migliorata: anche se il nemico ha guadagnato terreno, siamo ancora in controllo di aree chiave come la capitale e l’aeroporto e abbiamo fiducia nel fatto che arriveranno i rinforzi.\n\nI rinforzi dovrebbero arrivare tra uno o due giorni: il nostro unico compito è quello di resistere."
STRC_CUI_MSNAME_1,"NIGHT PATROL","PATROUILLE DE NUIT","PATRULLA NOCTURNA","PATTUGLIA NOTTURNA"
STRC_CUI_MSNAME_2,"AWAKENING","RÉVEIL","DESPERTAR","RISVEGLIO"
STRC_CUI_MSNAME_3,"DAWN OF HOPE","L'AUBE DE L'ESPOIR","ESPERANZA","L’ALBA DELLA SPERANZA"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nAnother boring night picket. It’s a warm night and the only real danger are the hordes of mosquitoes. At least you finally have some time to think.","\nOPÉRATION AUXILIAIRE\n\nUne autre garde de nuit où il ne se passe rien. Il fait chaud et les seuls ennemis sont les hordes de moustiques. Au moins, on a le temps de réfléchir...","\nOPERACIÓN AUXILIAR\n\n Otra noche aburrida de guardia. Es una noche cálida, y el único peligro real son los mosquitos. Por fin, un poco de tiempo para pensar.","\nOPERAZIONE SECONDARIA\n\n Un altro noioso picchetto notturno. Fa caldo e l’unico pericolo è rappresentato dalle orde di zanzare. Almeno avrai un po’ di tempo per riflettere."
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nAfter these last few tiring days you were trying to enjoy a little sleep in your barracks, the sounds of gunfire and explosions roused you suddenly from your slumber. You have no idea whats going on.","\nOPÉRATION AUXILIAIRE\n\nAprès ces journées épuisantes, vous tentiez de rattraper un peu de sommeil en retard dans votre baraquement, mais des tirs et des explosions vous ont brusquement tiré de votre sommeil. Vous n'avez aucune idée de ce qui peut se passer.","\nOPERACIÓN AUXILIAR\n\n Tras estos últimos días tan agotadores, estabas echando una cabezadita en el cuartel cuando te ha despertado, de repente, el ruido de disparos y explosiones. No tienes ni idea de qué es lo que pasa.","\nOPERAZIONE SECONDARIA\n\nDopo questi ultimi giorni d’inferno, stavi cercando di rilassarti un po’ nel tuo baraccamento, quando i rumori di sparatorie ed esplosioni ti hanno svegliato improvvisamente dal tuo sonno. Non hai idea di che cosa stia succedendo"
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\nThe enemy are aware that they are losing control of the situation – our victory near Somato and the incoming RACS reinforcements were not part of their plan. This is their latest play – an amphibious assault.","\nOPÉRATION PRINCIPALE\n\nL'ennemi sait qu'il perd le contrôle de la situation : notre victoire près de Somato et les renforts du CARS ne faisaient pas partie de ses plans. Il joue son dernier atout : un débarquement...","\nOPERACIÓN PRINCIPAL\n\nEl enemigo sabe que está perdiendo el control de la situación: nuestra victoria en Somato y la llegada de refuerzos RACS no entraban en sus planes. Están jugando su última carta: un asalto anfibio.","\nOPERAZIONE PRINCIPALE\n\nIl nemico è consapevole del fatto che sta perdendo il controllo della situazione. La nostra vittoria vicino a Somato e l’arrivo dei rinforzi dei CERS non erano parte dei suoi piani. Questo è il suo ultimo tentativo: un assalto anfibio."
STRC_CUI_CONS_1,"\n+We will have enough ammo tommorow.\n\n-It will be boring night duty.","\n+ Nous ne manquerons pas de munitions demain.\n\n- Garde de nuit, ce soir...","\n+Mañana tendremos munición suficiente.\n\n-Una aburrida noche de guardia.","\n+Domani avremo abbastanza munizioni.\n\n-Sarà un noioso picchetto notturno."
STRC_CUI_CONS_2,"\n+Unknown.\n\n-Unknown.","\n+ Inconnu.\n\n- Inconnu.","\n+Desconocido.\n\n- Desconocido.","\n+Sconosciuto.\n\n-Sconosciuto."
STRC_CUI_CONS_3,"\n+The first wave of the enemy attack will be slightly weaker.\n\n-The enemy will have full artillery support.","\n- La première vague d'attaque ennemie sera légèrement plus faible.\n\n- L'ennemi aura un appui d'artillerie complet.","\n+La primera oleada de ataque enemigo será algo más débil.\n\n-El enemigo contará con todo el refuerzo de artillería","\n+La prima ondata dell’assalto nemico sarà leggermente più debole.\n\n-Il nemico avrà il pieno supporto dell’artiglieria."
