LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nThey are here! We cannot quite believe it but the reinforcements just arrived in the last few minutes. The situation is completely different now – it is no longer us who are under heavy attack.\n\n\nYou can choose only one support mission as both of them will happen at the same time – so choose wisely.","\nIls sont là ! On a du mal à y croire, mais les renforts sont arrivés il y a quelques minutes. La situation a changé du tout au tout : ce n'est plus nous qui subissons la pression.\n\n\n nVous ne pourrez choisir qu'une seule mission de soutien car les deux se dérouleront simultanément, alors ne vous trompez pas...","\n¡Están aquí! Casi no podemos creerlo, pero hace unos minutos han llegado los refuerzos. La situación ha cambiado completamente: ya no somos nosotros las víctimas de un fuerte ataque.\n\n\nSólo puedes elegir una misión de apoyo, ya que las dos tienen lugar al mismo tiempo, así que elige bien.","\nSono qui! Non ci possiamo ancora credere, ma i rinforzi sono arrivati qualche minuto fa. Ora la situazione è completamente diversa: non siamo più noi ad essere sotto attacco pesante.\n\n\nPuoi scegliere una sola missione di supporto, dato che entrambe inizieranno allo stesso momento: scegli con saggezza."
STRC_CUI_MSNAME_1,"CONVOY ATTACK","ATTAQUE DE CONVOI","ATAQUE AL CONVOY","ATTACCO AL CONVOGLIO"
STRC_CUI_MSNAME_2,"CHOPPER ASSAULT","ASSAUT HÉLIPORTÉ","ASALTO DEL HELICÓPTERO","ASSALTO VIA ELICOTTERO"
STRC_CUI_MSNAME_3,"RECLAIMING","REPRISE","RECUPERACIÓN","LA RICONQUISTA"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nThe enemy is trying to boost their defensive positions in Corazol, so they are sending a convoy filled with ammunition, supplies and soldiers there. You have a chopper, you have to stop them on their way.","\nOPÉRATION AUXILIAIRE\n\nL'ennemi essaie de renforcer ses positions défensives à Corazol en y envoyant un convoi rempli d'hommes, de munitions et de logistique. Vous avez un hélico, alors arrêtez-les en chemin !","\nOPERACIÓN AUXILIAR\n\nEl enemigo intenta fortalecer sus posiciones defensivas en Corazol; van a enviar un convoy lleno de munición, provisiones y soldados. Tienes un helicóptero y tienes que detenerles.","\nOPERAZIONE SECONDARIA\n\nIl nemico sta cercando di potenziare le proprie posizioni difensive presso Corazol grazie all’invio di un convoglio pieno di munizioni, rifornimenti e soldati. Devi fermarlo con il tuo elicottero."
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nA surprise air assault on an enemy base.  Employ your gunship’s weapons against the enemy’s parked armor.  Our troops are counting on you to succeed.","\nOPÉRATION AUXILIAIRE\n\nAssaut aérien par surprise contre une base ennemie. Utilisez l'armement de votre hélico d'attaque contre les blindés qui s'y trouvent. Nos troupes comptent sur vous...","\nOPERACIÓN AUXILIAR\n\nAtaque aéreo sorpresa sobre una base enemiga. Utiliza las armas de tu nave de combate contra los blindajes enemigos. Nuestras tropas cuentan contigo.","\nOPERAZIONE SECONDARIA\n\nUn assalto aereo a sorpresa su di una base nemica. Utilizza le armi del tuo elicottero contro i blindati del nemico parcheggiati.  Le nostre truppe contano sul tuo successo."
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\nWe now have to push the enemy’s front line back.  Afterward, we’re going to have to clear out any stragglers and take total control of the Northern part of South Sahrani.","\nOPÉRATION PRINCIPALE\n\nIl faut maintenant repousser les lignes ennemies. Ensuite, on s'occupera des égarés et on reprendra le contrôle total de la partie nord du Sahrani du Sud.","\nOPERACIÓN PRINCIPAL\n\n Tenemos que hacer retroceder la línea de frente del enemigo. Después tendremos que acabar con los rezagados y hacernos con el control absoluto de la parte norte de Sahrani del Sur.","\nOPERAZIONE PRINCIPALE\n\nOra dobbiamo spingere indietro la linea del fronte nemica. Dopo di che dovremo ripulire l’area dai nemici rimasti e garantirci il controllo completo della parte nord di Sahrani del Sud."
STRC_CUI_CONS_1,"\n+SLA defences at Ortego will be weaker.\n\n-The enemy will have additional units reinforcing their positions.","\n+ Les défenses de l'ALS à Ortego seront plus faibles.\n\n- Les positions défensives ennemies seront renforcées par plusieurs unités.","\n+La defensa del SLA en Ortego será más débil.\n\n-El enemigo tendrá más unidades de refuerzo a su disposición.","\n+Le difese dell’ELS presso Ortego saranno più deboli.\n\n-Il nemico avrà unità aggiuntive a rinforzare le proprie posizioni."
STRC_CUI_CONS_2,"\n+The enemy will not be able to call for reinforcements.\n\n-We will have no additional supporting infantry for our assault.","\n+ L'ennemi ne pourra pas appeler de renforts.\n\n- Nous ne disposerons pas de renforts d'infanterie pour notre assaut.","\n+El enemigo no podrá pedir refuerzos.\n\n-No tendremos apoyo adicional de infantería para nuestro asalto.","\n+Il nemico non sarà in grado di chiamare i rinforzi.\n\n-Noi non disporremo di fanteria di supporto per il nostro assalto."
STRC_CUI_CONS_3,"\n+We will have both armored and infantry support.\n\n+The way to Corazol should be easier then.","\n- Nous disposerons d'un soutien d'infanterie et de blindés.\n\n+ Il sera plus facile de rejoindre Corazol.","\n+Tendremos el apoyo de la infantería y los blindajes.\n\n+Será más fácil llegar a Corazol.","\n+Avremo il supporto dei blindati e della fanteria.\n\n+A questo punto la marcia verso Corazol dovrebbe essere più facile."
