LANGUAGE,"English","French","Spanish","Italian"
STRC_CUI_SITREP,"The Kingdom of South Sahrani is in our hands again. However the war continues – and it means that the invasion of the enemy's territory must now begin.","Le royaume du Sahrani du Sud est de nouveau entre nos mains. Mais la guerre n'est pas finie : l'invasion du territoire du Nord va commencer...","El Reino de Saharni del Sur vuelve a estar en nuestro poder. Pero la guerra continúa, lo que significa que debe continuar la invasión del territorio enemigo.","Il Regno di Sahrani del Sud è nelle nostre mani. Ma la guerra continua: ora deve cominciare l’invasione del territorio nemico."
STRC_CUI_MSNAME_1,"Chopper Transport","TRANSPORT HÉLIPORTÉ","TRANSPORTE DE HELICÓPTERO","TRASPORTI VIA ELICOTTERO"
STRC_CUI_MSNAME_2,"BIG BANG","BIG BANG","BIG BANG","BIG BANG"
STRC_CUI_MSNAME_3,"SLA TERRITORY","TERRITOIRE ALS","TERRITORIO DEL SLA","TERRITORIO DELL’ELS"
STRC_CUI_MSNAME_4,"BIG BANG 2","BIG BANG 2","BIG BANG 2","BIG BANG 2"
STRC_CUI_OVER_1,"AUXILIARY OPERATION<br/>We have little time, you have a chopper. Deliver more than 80 percent of reinforcements from the front line in given time.<br/><br/>+Our defences at Modesta will be stronger.<br/>-We will not have enough troops to man the defences.","OPÉRATION AUXILIAIRE<br/>Vous avez un hélico et nous, on manque de temps. Acheminez plus de 80 % des renforts de la base vers le front dans le temps disponible.<br/><br/>+ Nos défenses à Modesta seront plus puissantes.<br/>- Nous manquerons d'hommes pour assurer notre défense.","OPERACIÓN AUXILIAR<br/>Tenemos poco tiempo, tienes un helicóptero. Lleva a lás del 80 por ciento de los refuerzos desde la línea de frente en el tiempo asignado.<br/><br/>+Nuestras defensas en Modesta serán más fuertes.<br/>-No tendremos tropas suficientes para controlar las defensas.","OPERAZIONE SECONDARIA<br/> Tu hai un elicottero, noi non abbiamo tempo. Consegna più dell’80 percento dei rinforzi dalla base alla linea del fronte entro il tempo stabilito<br/><br/>+Le nostre difese a Modesta saranno migliori.<br/>-Non avremo abbastanza truppe per presidiare le difese."
STRC_CUI_OVER_2,"AUXILIARY OPERATION<br/>There are two large SLA bases in the city of Obregan. At the Norther one there should be two Urals completely filled with ammunition. If we can destroy them we’ll deal a significant blow to the enemy.<br/><br/>+The enemy will be hit where it hurts.<br/>-SLA will have enough ammunition for their defence.","OPÉRATION AUXILIAIRE<br/>La ville d'Obregan abrite deux grandes bases de l'ALS. Dans celle du nord devraient se trouver deux camions Ural bourrés de munitions. Si on parvient à les détruire, cela portera un coup majeur à l'ennemi.<br/><br/>+ L'ennemi sera frappé là où ça fait mal.<br/>- L'ALS aura assez de munitions pour assurer sa défense.","OPERACIÓN AUXILIAR<br/>Hay dos grandes bases del SLA en la ciudad de Obregan. En la del norte debe haber dos Ural llenos de munición. Si consigues destruirlos, le habremos dado un buen golpe al enemigo.<br/><br/>+El enemigo va a recibir donde más le duele.<br/>-El SLA tendrá munición suficiente para su defensa.","OPERAZIONE SECONDARIA<br/>Ci sono due importanti basi dell’ELS nella città di Obregan. In quella nord, ci dovrebbero essere due Ural stracarichi di munizioni. Se riusciremo a distruggerli, infliggeremo un duro colpo al nemico.<br/><br/>+Il nemico verrà colpito dove fa più male.<br/>-L’ELS avrà abbastanza munizioni per difendersi."
STRC_CUI_OVER_3,"MAIN OPERATION<br/>We make our first move into enemy territory. A base has been established in the city of Modesta, and we expect the SLA to launch a counterattack there soon. If you choose this mission first, enemy attack will be stronger and better equipped.<br/><br/>-The enemy will have special forces reinforcements.<br/>-Heavy armor attack will come in full strength.","OPÉRATION PRINCIPALE<br/>Nous faisons nos premiers pas en territoire ennemi. Une base a été installée à Modesta, mais nous nous attendons à ce que l'ennemi mène bientôt une contre-attaque là-bas. Si vous choisissez de mener cette mission en premier, l'ennemi attaquera avec plus de moyens et de meilleurs matériels.<br/><br/>- L'ennemi aura des renforts de forces spéciales.<br/>- L'attaque de blindés lourds s'effectuera à plein potentiel.","OPERACIÓN PRINCIPAL<br/>Damos el primer paso en territorio enemigo. Se ha establecido una base en la ciudad de Modesta, y esperamos que el SLA lance pronto un contraataque. Si eliges primero esta misión, el ataque enemigo será más fuerte y estará mejor equipado.<br/><br/>-El enemigo tendrá refuerzos de las fuerzas especiales.<br/>-El ataque de los blindajes pesados caerá con toda su fuerza.","OPERAZIONE PRINCIPALE<br/>Stiamo muovendo i primi passi in territorio nemico. Abbiamo stabilito una base nella città di Modesta e ci aspettiamo che l’ELS lanci un contrattacco.Se scegli questa missione per prima, il nemico sarà più potente e meglio equipaggiato.<br/><br/>-Il nemico riceverà i rinforzi delle forze speciali.<br/>-Ci si aspetta un pesante attacco di blindati."
STRC_CUI_OVER_4,"AUXILIARY OPERATION<br/>The enemy is trying to leave their base complex at the city of Obragan and pull back to their capital city of Bagango. You have to hunt them down as they retreat.<br/><br/>+We will weaken the enemy's defences of their capital city.","OPÉRATION AUXILIAIRE<br/>L'ennemi tente de quitter sa base d'Obregan pour se replier sur Bagango, la capitale. Vous devrez le pourchasser pendant sa retraite.<br/><br/>+ Nous affaiblirons les défenses de l'ennemi dans la capitale.","OPERACIÓN AUXILIAR<br/>El enemigo intenta abandolar el recinto de la base en la ciudad de Obragan, y retirarse a la capital en Bagango. Tienes que alcanzarles en la retirada.<br/><br/>+Debilitaremos las defensas enemigas en su capital.","OPERAZIONE SECONDARIA<br/>Il nemico sta cercando di abbandonare la base di Obragan e ritirarsi presso la capitale Bagango. Devi incalzarlo mentre si ritira.<br/><br/>+Indeboliremo le difese nemiche nella loro capitale."
STRC_CUI_CONS_5,"<br/><br/>+We will encounter weaker enemy armored units.","<br/><br/>+ Nous rencontrerons des unités blindées ennemies plus faibles.","<br/><br/>+Encontraremos unidades blindadas enemigas más débiles.","<br/><br/>+Incontreremo unità blindate nemiche più deboli."
STRC_CUI_CONS_6,"<br/><br/>-The enemy armored units will be encountered at full strength.","<br/><br/>- Les unités blindées ennemies rencontrées seront à plein potentiel.","<br/><br/>+Encontraremos unidades blindadas enemigas dotadas de toda su fuerza.","<br/><br/>-Incontreremo unità blindate nemiche molto forti."
