LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nWe now hold the southern part of the Democratic Republic of Sahrani and the time has come to strike further. Our next step will be to encircle the enemy.","Nous tenons maintenant la partie méridionale de la République démocratique de Sahrani et le moment est venu de frapper encore plus loin. La prochaine étape consiste à encercler l'ennemi.","\nYa tenemos el control del sur de la República Democrática de Sahrani, y ha llegado el momento de seguir atacando. Nuestro siguiente paso será rodear al enemigo.","\nSiamo in controllo della parte sud della Repubblica Democratica di Sahrani ed è giunto il tempo di colpire più a fondo. Il nostro prossimo passo è quello di circondare il nemico."
STRC_CUI_MSNAME_1,"SABOTEUR","SABOTEUR","SABOTEADOR","SABOTATORE"
STRC_CUI_MSNAME_2,"ARMORED FIST","POING BLINDÉ","PUÑO ARMADO","PUGNO BLINDATO"
STRC_CUI_MSNAME_3,"GRYPHONS","GRIFFONS","GRIFONES","GRIFONI"
STRC_CUI_MSNAME_4,"THE CAMP","LE CAMPEMENT","EL CAMPAMENTO","IL CAMPO"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nDestroy the armored vehicles in the enemy compound. Employ your skills and your explosives to succeed.","\nOPÉRATION AUXILIAIRE\n\nDétruisez les blindés qui se trouvent dans le complexe ennemi. Exploitez vos compétences et vos explosifs !","\nOPERACIÓN AUXILIAR\n\nDestruye los blindajes del recinto enemigo. Para lograrlo, utiliza bien tus habilidades y tus explosivos.","\nOPERAZIONE SECONDARIA\n\nDistruggi i veicoli blindati nell’area recintata nemica. Per riuscirci, utilizza le tue capacità e gli esplosivi."
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nThree M1A1 Abrams tanks take on a pair of enemy bases.","\nOPÉRATION AUXILIAIRE\n\nTrois chars M1A1 Abrams s'occupent d'une paire de bases ennemies.","\nOPERACIÓN AUXILIAR\n\nTres tanques M1A1 Abrams toman un par de bases enemigas.","\nOPERAZIONE SECONDARIA\n\n Tre carri armati M1A1 Abrams contro due basi nemiche."
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\nThese SLA guys have a complete reinforced Mechanized Division at their disposal. Get in there and take care of them in your attack helicopter.","\nOPÉRATION PRINCIPALE\n\nL'ALS dispose d'une division mécanisée renforcée au complet. Grimpez à bord de votre hélico d'attaque et occupez-vous d'elle.","\nOPERACIÓN PRINCIPAL\n\nEl SLA cuenta con una División Mecanizada reforza a su disposición. Encárgate de ellos con tu helicóptero de ataque.","\nOPERAZIONE PRINCIPALE\n\nL’ELS ha a disposizione un’intera divisione meccanizzata. Con il tuo elicottero d’attacco, volaci sopra e prenditene cura."
STRC_CUI_OVER_4,"\nAUXILIARY OPERATION\n\nWe’ve decited to try to surround the enemy, so we’re sending five engineers to build the camp close to SLA territory. You have to protect them until they’ve finished their work.\n","\nOPÉRATION AUXILIAIRE\n\nNous avons décidé de tenter d'encercler l'ennemi et envoyons cinq sapeurs établir un campement près du territoire de l'ALS. Vous devrez les protéger jusqu'à ce qu'ils aient fini leur travail.","\nAUXILIARY OPERATION\n\nHemos decidido intentar rodear al enemigo; vamos a enviar a cinco ingenieros para que construyan el campamento cerca del territorio del SLA. Deberás protegerles hasta que acaben su trabajo.","\nOPERAZIONE SECONDARIA\n\nAbbiamo deciso di provare a circondare il nemico e abbiamo inviato cinque soldati del genio per costruire un campo vicino al territorio dell’ELS. Devi proteggerli finché non finiscono il loro lavoro."
STRC_CUI_CONS_1,"\n+We will encounter weaker enemy armored units.","\n+ Nous affronterons des unités blindées ennemies moins puissantes.","\n+Encontraremos unidades blindadas enemigas más débiles.","\n+ Incontreremo unità blindate nemiche più deboli."
STRC_CUI_CONS_2,"\n+We will encounter weaker enemy armored units.","\n+ Nous affronterons des unités blindées ennemies moins puissantes.","\n+ Encontraremos unidades blindadas enemigas más débiles.","\n+ Incontreremo unità blindate nemiche più deboli."
STRC_CUI_CONS_3,"\n-Enemy armored units will be encountered at full strength.","\n- Les unités blindées ennemies seront à plein potentiel.","\n-Encontraremos unidades blindadas enemigas dotadas de toda su fuerza.","\n- Incontreremo unità blindate nemiche molto forti."
STRC_CUI_CONS_4,"\n+We can operate in the East of Northern island.","\n+ Nous pourrons intervenir dans la partie est du nord de l'île.","\n+Podemos operar en la parte este del norte de la isla.","\n+Possiamo operare nella zona est del nord dell’isola."
