LANGUAGE,"English","French","Spanish","Italian"


STRC_CUI_SITREP,"\nIt is almost over, but we are not quite there yet, we have one last challenge remaining. The final attack is just ahead – and it is not going to be easy. Destination Bagango, the capital of the North.","\nC'est presque fini, mais il reste une attaque à mener, et ce ne sera pas facile. En route pour Bagango, la capitale du Nord.","\nYa casi ha terminado, pero todavía no podemos cantar victoria, falta un último esfuerzo. El ataque final es inminente, y no será fácil. Destino: Bagango, capital del norte.","\nÈ quasi finita, ma rimane un’ultima sfida. Sta per scattare l’offensiva finale e non sarà facile. Destinazione Bagango, la capitale di Sahrani del Nord."
STRC_CUI_MSNAME_1,"DRIVER","CONDUCTEUR","CONDUCTOR","GUIDATORE"
STRC_CUI_MSNAME_2,"DESTRUCTOR","DESTRUCTEUR","DESTRUCTOR","DISTRUTTORE"
STRC_CUI_MSNAME_3,"FINAL COUNTDOWN","COMPTE À REBOURS FINAL","CUENTA ATRÁS FINAL","CONTO ALLA ROVESCIA FINALE"
STRC_CUI_OVER_1,"\nAUXILIARY OPERATION\n\nWe have no time, soldier! Board the vehicle, travel to the base and pick up a group of soldiers. We need them now!.","\nOPÉRATION AUXILIAIRE\n\nLe temps presse, soldat ! Grimpez dans ce véhicule, rejoignez la base et embarquez un groupe de soldats ! On en a besoin tout de suite !","\nOPERACIÓN AUXILIAR\n\n¡No nos queda tiempo, soldado! ¡Sube al vehículo, ve hasta la base y recoge a un grupo de soldados! ¡Les necesitamos ya!","\nOPERAZIONE SECONDARIA\n\nNon abbiamo tempo, soldato! Monta sul veicolo, vai alla base e preleva un gruppo di soldati. Ci servono ora!"
STRC_CUI_OVER_2,"\nAUXILIARY OPERATION\n\nDestroy the armored vehicles in the compound.  The troops participating in the coming offensive are counting on you.","\nOPÉRATION AUXILIAIRE\n\nIl faut détruire les engins blindés dans le complexe. Les troupes qui vont prendre part à la prochaine offensive comptent sur vous.","\nOPERACIÓN AUXILIAR\n\nDestruye los blindajes del recinto. Las tropas que participan en la ofensiva cuentan contigo.","\nOPERAZIONE SECONDARIA\n\nDistruggi i veicoli blindati nel campo. Le truppe coinvolte nell’offensiva che sta per scattare contano su di te."
STRC_CUI_OVER_3,"\nMAIN OPERATION\n\n This is the moment of truth. The command staff have decided that the Northern regime must be overthrown and its representatives brought to justice, so today we're going to attack the capital city of Bagango and do so by force.","\nOPÉRATION PRINCIPALE\n\nC'est l'heure de vérité. Le commandement a décidé qu'il fallait renverser le régime du Nord et amener ses dirigeants devant la justice, alors nous allons attaquer aujourd'hui leur capitale, Bagango.","\nOPERACIÓN PRINCIPAL\n\nHa llegado el momento de la verdad. La comandancia ha decidido que el régimen del norte debe ser derrocado, y sus representantes juzgados. Por eso, hoy vamos a atacar la capital Bagango por la fuerza.","\nOPERAZIONE PRINCIPALE\n\n Questo è il momento della verità. È stato deciso che il regime del Nord deve essere rovesciato e i suoi rappresentanti portati davanti alla giustizia: oggi ci proveremo con la forza, attaccando la capitale Bagango."
STRC_CUI_CONS_1,"\n+We will have more units at our disposal.\n\n-The enemy will be able to draw on artillery support.","\n+ Nous disposerons de davantage d'unités.\n\n- L'ennemi disposera d'un appui d'artillerie.","\n+Tendremos más unidades a nuestra disposición.\n\n-El enemigo podrá contar con refuerzos de artillería.","\n+Avremo più unità a disposizione.\n\n-Il nemico avrà artiglieria di supporto."
STRC_CUI_CONS_2,"\n+The enemy will not have artillery support.\n\n-We will have fewer units at our disposal.","\n+ L'ennemi n'aura pas d'appui d'artillerie.\n\n- Nous disposerons de moins d'unités.","\n+El enemigo no tendrá refuerzos de artillería.\n\n-Tendremos menos unidades disponibles.","\n+Il nemico non avrà artiglieria di supporto.\n\n-Noi avremo meno unità a disposizione."
STRC_CUI_CONS_3,"\n-The enemy will be able to draw on artillery support.\n\n+We will be at optimum fighting strength","\n- L'ennemi aura un appui d'artillerie.\n\n+ Nous serons à plein potentiel.","\n-El enemigo podrá contar con refuerzos de artillería.\n\n+Nuestra fuerza de lucha será la óptima","\n-Il nemico avrà artiglieria di supporto.\n\n+Noi saremo in condizioni di combattimento ideali."
