LANGUAGE,"English"


STRC_03v01,"\n\nOrtego was a total clusterfuck."
STRC_03v02,"\n\nThe SLA gangbanged us, and I nearly took\none right between the eyes."
STRC_03v03,"\n\nAnother three inches to the left, and I’d have gotten a free\ntrip to Arlington. I’d have been in good company."
STRC_03v04,"\n\nWe lost a lot of men there."
STRC_03v05,"\n\nThe SLA took Ortego, and they’re\nalready pushing farther south."
STRC_03v06,"\n\nThey have the numbers for now—at least until our reinforcements show up—and they’re making the most of it."
STRC_03v07,"\nNone of us have any idea why this is happening yet.\nThe captain ordered us to fall back to Dolores, which\nain’t much more than a bunch of fishing shacks,\nand he hasn’t said a word since."
STRC_03v08,"\n\nHe just keeps staring at those maps, studying them."
STRC_03v09,"\n\nMy money says he’s still got a trick or two\nof his own up his cammies."
STRC_03v10,"\n\n\nHe’d better. "
