LANGUAGE,"English","French","Spanish","Italian"


STRC_01v01,"Sunny beaches, a fresh sea breeze and shaded terraces, along with imposing mountains and lush forests – what more could you ask for in a holiday resort?","Des plages ensoleillées, une douce brise marine, des terrasses ombragées, des montagnes imposantes et des forêts luxuriantes : que demander de plus à un lieu de vacances ?","Playas soleadas, la brisa marina y terrazas a la sombra, impresionantes montañas y bosques frondosos… ¿qué más se puede pedir de un centro de vacaciones?","Sole, spiagge, brezza marina, terrazze riparate dal sole, imponenti montagne ed una foresta lussureggiante – che chiedere di più da un luogo di villeggiatura?"
STRC_01v02,"Sahrani is an isolated island in the Atlantic Ocean, and this remoteness is just what allows it to keep its special charm.","Sahrani est une île isolée de l'océan Atlantique, et c'est à ce caractère reculé qu'elle doit son charme.","Sahrani es una isla remota en medio del océano Atlántico; esto le permite\nconservar un encanto especial.","Sahrani si trova nel mezzo dell’oceano Atlantico e questo isolamento contribuisce a darle un fascino speciale."
STRC_01v03,"Much of the country has barely been touched by civilization, but the comforts of modern hotels and a vibrant nightlife are also to be found.","La plus grande partie de l'île a à peine été touchée par la civilisation, mais on y trouve aussi des hôtels modernes et une vie nocturne intense.","Gran parte del país no conoce el desarrollo, aunque sí se puede disfrutar de las comodidades de modernos hoteles y de una vida nocturna agitada.","La maggior parte dell’isola è ancora incontaminata, ma vi si possono trovare anche hotel moderni e una vivace vita notturna."
STRC_01v04,"Past tensions between the Southern monarchy and the Northern Democratic Republic of Sahrani have eased to the point where both nations are considered safe travel destinations by the US Department of State.","Les tensions passées entre la monarchie du Sud et la République démocratique du Nord se sont apaisées et les deux nations sont désormais considérées comme des destinations sûres par le Département d'État américain.","Las tensiones pasadas entre la monarquía sureña y la república democrática del norte de Sahrani se han suavizado; el Departamento de Estado de EE.UU. las clasifica como destinos seguros de vacaciones.","La tensione tra lo stato monarchico del Sud e la repubblica democratica del Nord si è allentata a tal punto che il Dipartimento di Stato americano le considera entrambe come mete di viaggio sicure."
STRC_01v05,"To ensure ongoing stability in the region, US troops are training the Southern Royal Army Corps.","Afin d'assurer la pérennité de la stabilité dans la région, les forces américaines entraînent les troupes royales.","Para garantizar la continuidad de la estabilidad en la región, las tropas de EE.UU. entrenan al Royal Army del sur.","Per mantenere la stabilità nella regione, truppe americane stanno addestrando l’esercito del Sud."
STRC_01v06,"We asked one of our soldiers supervising an exercise how they like it here in Sahrani.","Nous avons demandé à l'un de nos soldats supervisant un exercice ce qu'il pensait de Sahrani.","Le preguntamos a uno de nuestros soldados que supervisaba un ejercicio, cómo veía las cosas aquí en Sahrani.","Abbiamo chiesto ad uno dei soldati incaricati dell’addestramento come si sta a Sahrani."
STRC_01v07,"So how is life out here in paradise, soldier?","Que pensez-vous de la vie dans ce paradis, soldat ?","Soldado, ¿qué tal es la vida en el paraíso?","Allora, com’è la vita in questo paradiso?"
STRC_01v08,"Well, uhh, it ain’t nothing special here ma'am. It’s hot, there’s a drill every other day .. and the island is kinda nice, I guess.","Eh bien, euh... Rien de spécial, madame. Il fait chaud, on s'entraîne un jour sur deux... et l'île est sympa, je crois.","Bueno, pues no es nada especial. Hace calor, cada dos días tenemos simulacro… y la isla no está mal, supongo.","Beh, ecco, non è niente di speciale. Fa caldo, c’è un’esercitazione ogni due giorni... l’isola tutto sommato è piacevole, direi."
STRC_01v09,"I’ll be shipped back in a week, so lemme say to the folks back home I’m really looking forward to seein' you again soon...","Je dois rentrer dans une semaine, alors je voudrais dire à ma famille que je suis pressé de la revoir.","En una semana me envían de vuelta, así que aquí va un mensaje para mi gente: estoy deseando veros a todos muy, muy pronto…","Tra una settimana sarò rispedito indietro: a tutti gli amici a casa vorrei dire che non vedo l’ora di rivedervi..."
STRC_01v10,"Well, there it is from the horse’s mouth. Stationed on this beautiful island – our troops ensure a safe environment for your holidays.","Voilà, vous tenez la vérité à la source. En poste sur cette magnifique île, nos troupes assurent la sûreté de votre séjour ici.","Ahí lo tenemos, noticias de primera mano. Destinadas en esta preciosa isla, nuestras tropas nos proporcionan un entorno seguro para nuestras vacaciones.","Parola dei diretti interessati. Le nostre truppe, di stanza su quest’isola incantevole, assicurano un ambiente ideale per le vostre vacanze."
STRC_01v11,"Thank you very much, soldier. For the AAN Network, this is Marian Quandt from the Kingdom of South Sahrani.","Merci beaucoup, soldat. C'était Marian Quandt, depuis le royaume du Sahrani du Sud, pour AAN.","Muchas gracias soldado. Marian Quandt, AAN Network, desde el Reino de Sahrani del Sur.","Grazie mille, soldato. Marian Quandt, per Rete AAN, dal Regno di Sahrani del Sud. A voi studio."
