LANGUAGE,"English","French","Spanish","Italian"


STRC_03v01,"AAN Network brings you this report from a field base in the city of Dolores on the island of Sahrani. We have Captain Armstrong, commander of the local US forces, here for a short talk.","AAN vous transmet ce reportage depuis une base de campagne dans la ville de Dolores, sur l'île de Sahrani. Nous avons avec nous le capitaine Armstrong, qui commande les forces américaines sur place.","AAN Network les ofrece este reportaje desde una base de la ciudad de Dolores, en la isla de Sahrani. Está con nosotros el capitán Armstrong, comandante de las fuerzas locales estadounidenses.","Rete AAN in collegamento dalla base della città di Dolores sull’isola di Sahrani. Abbiamo qui con noi il capitano Armstrong, comandante sul campo delle forze armate americane."
STRC_03v02,"Captain, can you tell us anything about the situation here?","Capitaine, pouvez-vous nous expliquer la situation ?","Capitán, ¿nos puedes explicar cuál es la situación?","Capitano, può dirci qualcosa circa la situazione?"
STRC_03v03,"The situation is quite complicated. For starters, we still have received no official word from the Democratic Republic of Sahrani as to the cause of this sudden act of agression.","La situation est assez complexe. Pour commencer, nous n'avons reçu aucun message de la République démocratique de Sahrani quant à la cause de ce soudain acte d'agression.","La situación es bastante complicada. Para empezar, aún no hemos recibido un comunicado oficial de la República Democrática de Sahrani informándonos de la causa de esta repentina agresión.","La situazione è complicata. Innanzitutto, non abbiamo ancora ricevuto comunicazioni ufficiali dalla Repubblica Democratica di Sahrani sul perché di questa aggressione improvvisa."
STRC_03v04,"While US and South Sahrani forces have taken casualties, the death toll among civilians is rising at an even more alarming rate.","Les forces américaines et du Sahrani du Sud ont subi des pertes, mais celles de la population civile augmentent à un taux alarmant.","Mientras los EE.UU. y Sahrani del Sur sufren bajas, el índice de muertes civiles aumenta a una velocidad aún más alarmante.","Ci sono state perdite tra le forze alleate e, ancor peggio, le perdite tra i civili sono in continuo aumento."
STRC_03v05,"The king of South Sahrani, Joseph III, has asked for international help. Is your participation in the conflict the United States' answer to that request?","Le roi du Sahrani du Sud, Joseph III, a demandé l'aide internationale. Votre participation à ce conflit constitue-t-elle la réponse des États-Unis à cette demande ?","El rey de Sahrani del Sur, Joseph III, ha solicitado ayuda internacional. Su participación en el conflicto, ¿responde a la respuesta norteamericana ante esta solicitud?","Il re di Sahrani del Sud ha chiesto aiuto alla comunità internazionale. Ritiene che la partecipazione americana al conflitto risponda a tale richiesta?"
STRC_03v06,"As you know, we were deployed to the island with a different mission than defending the country from an invasion.","Comme vous le savez, notre présence sur cette île n'a rien à voir avec la défense de ce pays contre une invasion.","Como ya sabrá, nos enviaron a la isla con una misión diferente; no consistía en defender el país de una invasión.","Come ben sa, non siamo stati inviati su quest’isola con la missione di difendere il paese da un’invasione."
STRC_03v07,"Most US units participating in the training program here left the island several days ago. It’s just a coincidence that we were present here for a few more days.","La plupart des unités affectées au programme de formation ont quitté l'île il y a plusieurs jours. Le fait que nous soyons encore présents n'est que le fruit du hasard.","La mayoría de las unidades estadounidenses que participan en el programa de entrenamiento se marcharon de la isla hace unos días. Nuestra presencia aquí fue pura casualidad.","La maggior parte delle truppe americane coinvolte nel programma di addestramento ha lasciato l’isola già da un po’. È un caso che noi siamo ancora qui."
STRC_03v08,"So we do what we can, although the possibilities at this stage seem limited.","Alors, nous ferons ce que nous pourrons, mais nos possibilités sont, à ce stade, limitées.","Así que hacemos lo que podemos, aunque en estos momentos las posibilidades parecen limitadas.","Facciamo il possibile, ma in questo momento le possibilità sono limitate."
