LANGUAGE,"English","French","Spanish","Italian"


STRC_04v01,"And now more news from South Sahrani. Earlier today, the army of Northern Sahrani invaded the monarchy on the Southern part of the island.","Et maintenant, d'autres nouvelles du Sahrani du Sud. Un peu plus tôt dans la journée, l'armée du Sahrani du Nord a envahi le royaume du sud de l'île.","Y ahora, más noticias desde Sahrani del Sur. A primeras horas de hoy, el ejército de Sahrani del Norte invadió la monarquía del sur de la isla.","Ed ora un aggiornamento sulla situazione di Sahrani del Sud. Poco fa, l’esercito di Sahrani del Nord ha invaso il sud dell’isola."
STRC_04v02,"The king of South Sahrani, His Majesty Joseph III, has declared the attack an act of war and called upon Northern Prime Minister Torrez to withdraw his forces from the South.","Le roi du Sahrani du Sud, Sa majesté Joseph III, a qualifié cette attaque d'acte de guerre et a demandé à M. Torrez, Premier ministre du Nord, de retirer ses troupes.","El rey de Sahrani del Sur, Su Majestad Joseph III, ha declarado que el ataque es un acto bélico, y le ha exigido a Torrez, Primer Ministro del Norte, que retire sus fuerzas del sur.","Il re di Sahrani del Sud, Joseph III, ha dichiarato come questo attacco sia un atto di guerra e ha chiesto al Primo Ministro del Nord Torrez di ritirare le sue truppe."
STRC_04v03,"Prime Minister Torrez announced that the attack is not an invasion, but a humanitarian intervention aimed at ending the oppression of the population in the kingdom's Southern cities.","Le Premier ministre Torrez a déclaré que cette attaque n'était pas une invasion, mais une intervention humanitaire visant à mettre un terme à l'oppression dont sont victimes les populations du Sud.","El Primer Ministro Torrez ha anunciado que no se trata de una invasión, sino de una intervención humanitaria dirigida a acabar con la opresión de la población en las ciudades sureñas del reino.","Il Primo Ministro Torrez ha annunciato che l’attacco non è un’invasione, ma un intervento umanitario mirato a porre fine all’oppressione della popolazione delle città del sud del regno."
STRC_04v04,"Our on-site reporter in South Sahrani will tell us more. Marian?","Notre envoyée au Sahrani du Sud va nous en dire plus. Marian ?","Nuestra corresponsal en Sahrani del Sur podrá darnos más datos. ¿Marian?","La nostra inviata da Sahrani del Sud ci dirà di più. Marian?"
STRC_04v05,"Has anyone seen private Porter? Where the hell is that guy!? Porter!","Quelqu'un a vu le soldat Porter ? Il est passé où ? Porter !","¿Alguien ha visto al soldado Porter? ¿Dónde está este tío? ¡Porter!","Chi ha visto il soldato Porter? Dove diavolo si è cacciato!? Porter!"
STRC_04v06,"Get over here with that vehicle, soldier! Hey, you, what you think you’re doing here? Get to your position! Everyone! Hold your positions and report every ten minutes.","Ici avec ce véhicule, soldat ! Eh, toi, tu te crois où ? En position ! Tous ! Tenez vos positions et rendez compte toutes les dix minutes.","¡Soldado, ven aquí con ese vehículo! ¿Qué crees que estás haciendo? ¡Colócate en tu puesto! ¡Todo el mundo! Mantened posiciones y dad parte cada diez minutos.","Vieni qui con quel veicolo, soldato! Credi che questo sia un gioco? Vai in posizione! Tutti! Tenete le vostre posizioni e riferite ogni dieci minuti."
STRC_04v07,"Yes Ed, this is Marian Quandt, live from the battlefield.","Oui, Ed, ici Marian Quandt, en direct de la zone des combats.","Sí, Ed, Marian Quandt, en directo desde el campo de batalla.","Sì Ed, qui Marian Quandt, in diretta dal campo di battaglia."
STRC_04v08,"US forces have failed to hold the city of Dolores, and pulled back far to the North. The cities of Cayo, Tiberia, Arcadia, and the rest of the Southern provinces have been abandoned.","Les forces américaines n'ont pas pu tenir la ville de Dolores et se sont repliées plus au nord. Les villes de Cayo, Tiberia, Arcadia et le reste des provinces du sud ont été abandonnés.","Las fuerzas estadounidenses no han conseguido retener la ciudad de Dolores, y se han retirado hacia el norte. Las ciudades de Cayo, Tiberia, Arcadia y el resto de las provincias del sur, han abandonado.","Le forze americane hanno perso il controllo di Dolores e si sono mosse verso nord. Le città di Cayo, Tiberia, Arcadia e il resto delle province del sud sono state abbandonate."
STRC_04v09,"None of the civilians have been evacuated, and with the ruthless SLA forces closing in, we fear the worst. Even the commander of the Royal Army Corps of Sahrani has expressed his fears of a massacre.","Aucun civil n'a pu être évacué, et avec l'approche des forces impitoyables de l'ALS, le pire est à craindre. Même le commandant des forces royales du Sahrani a déclaré craindre des massacres.","No han evacuado a ningún civil; las despiadadas fuerzas del SLA se están acercando, y nos tememos lo peor. Incluso el comandante del Royal Army Corps de Sahrani ha expresado su temor a una posible masacre.","I civili non sono stati evacuati e, con le feroci truppe dell’ELS in avvicinamento, temiamo il peggio. Anche il comandante dei Corpi dell’Esercito Reale di Sahrani ha espresso timore per un massacro."
STRC_04v10,"If these concerns prove valid, this could very well turn into a black page in the history of the US Army, and put in question the US armed forces' ability to protect its allies.","Si ces préoccupations se confirment, ces événements pourraient devenir une page sombre de l'histoire de l'armée américaine et remettre en question la capacité des États-Unis à défendre leurs alliés.","Si sus temores son fundados, podría ser una mancha imborrable en la historia del ejército norteamericano, y cuestionar la capacidad de las fuerzas armadas estadounidenses para proteger a sus aliados.","Se queste preoccupazioni si rivelassero fondate, questa sarebbe una pagina nera per l’esercito americano e metterebbe in dubbio la sua capacità di proteggere i propri alleati."
STRC_04v11,"Marian Quandt, AAN Network, South Sahrani. Back to you Ed.","Marian Quandt, au Sahrani du Sud pour AAN. À vous, Ed.","Eso es todo, Ed. Marian Quandt, AAN Network, Sahrani del Sur.","Marian Quandt, per Rete AAN, Sahrani del Sud. A te, Ed."
