LANGUAGE,"English","French","Spanish","Italian"


STRC_05v50,"More news coming from Sahrani as American forces enter the second day of this conflict.","D'autres nouvelles nous parviennent de Sahrani alors que les forces américaines entament leur deuxième journée de combats.","Más noticias procedentes de Sahrani, donde las fuerzas americanas inician su segundo día de conflicto.","Ulteriori aggiornamenti da Sahrani, nel secondo giorno dall’inizio di questo conflitto."
STRC_05v51,"The latest attack by the SLA, the Sahrani Liberation Army, was held off by American forces last night. The Southern front now seems to have settled just South of the city of Somato.","La dernière attaque de l'ALS, l'Armée de libération de Sahrani, a été repoussée par les forces américaines la nuit dernière. Le front méridional semble désormais stabilisé juste au sud de la ville de Somato.","El último ataque del SLA, Sahrani Liberation Army, fue detenido anoche por las tropas americanas. Parece que el frente sur se ha fijado justo al sur de la ciudad de Somato.","La notte scorsa, un attacco dell’ELS, l’Esercito di Liberazione di Sahrani, è stato respinto dalle forze americane. Il fronte del sud sembra essersi stabilito presso la città di Somato."
STRC_05v52,"It has been confirmed that additional US troops are enroute to the region, and should arrive there soon.","On a reçu confirmation de l'arrivée prochaine de nouvelles troupes américaines, déjà en route pour la région.","Se ha confirmado el envío de más tropas estadounidenses a la región. Las tropas llegarán pronto.","Abbiamo ricevuto conferma che ulteriori truppe americane sono state inviate nella regione."
STRC_05v53,"Our local correspondent, Marian Quandt, reports that the situation is still tense, but for now under control. As you can see on this map, US forces have positioned themselves near Somato to defend against any attack from the South.","Notre envoyée spéciale, Marian Quandt, indique que la situation demeure tendue, mais est pour l'instant sous contrôle. Comme vous le voyez sur cette carte, les forces américaines ont pris position près de Somato afin de défendre la ville contre toute attaque venant du sud.","Nuestra corresponsal en la zona, Marian Quandt, nos comunica que la situación sigue tensa, aunque bajo control. Como pueden ver en este mapa, las fuerzas norteamericanas se han situado cerca de Somato para defenderse de posibles ataques del sur.","La nostra inviata da Sahrani, Marian Quandt, riferisce di una situazione tesa, ma per ora sotto controllo. Come potete vedere da questa mappa, le forze americane si sono posizionate presso Somato per difendersi da un attacco proveniente dal sud."
STRC_05v54,"I .. I've just received that we have breaking news from Sahrani. Marian?","Je... Je viens de recevoir des nouvelles de Sahrani. Marian ?","Parece que tenemos una exclusiva desde Sahrani. ¿Marian?","Abbiamo sviluppi importanti da Sahrani. Marian?"
STRC_05v55,"Good morning Ed, this is Marian Quandt live from the coast just North of Paraiso. While conducting some interviews with the Royal forces here, the area came under attack from the sea!","Bonjour, Ed, ici Marian Quandt, en direct de la côte, juste au nord de Paraiso. Alors que j'interviewais des membres des forces royales, le secteur a été attaqué par la mer !","Marian Quandt, en directo desde la costa al norte de Paraíso. Buenos días Ed. ¡Mientras estaba entrevistando a las fuerzas Reales, hemos sido atacados desde el mar!","Buongiorno Ed, qui è Marian Quandt in diretta dalla costa a nord di Paraiso. Mentre stavamo facendo alcune interviste con le forze reali, l’area è stata attaccata dal mare!"
STRC_05v56,"SLA forces are bombarding the coastline, and the first landing transports can be seen approaching the shore. It seems that a new front has just been opened up on the North coast!","Les forces de l'ALS bombardent la côte et les premiers engins de débarquement approchent du rivage. Tout laisse penser qu'un nouveau front vient d'être ouvert sur la côte nord !","Las tropas del SLA están bombardeando la costa, y se están acercando los primeros vehículos de desembarco. ¡Parece que se acaba de abrir un nuevo frente en la costa norte!","Le forze dell’ELS stanno bombardando la linea costiera e le prime forze da sbarco si stanno avvicinando a riva. Sembra che un nuovo fronte si sia appena aperto sulla costa nord!"
STRC_05v57,"Is this a final attempt to take control of the capital before additional US forces arrive?","Cela correspond-il à une dernière tentative de prise de contrôle de la capitale avant l'arrivée de nouvelles forces américaines ?","¿Será éste un último intento por hacerse con el control de la capital, antes de que lleguen refuerzos estadounidenses?","È questo un ultimo tentativo per conquistare la capitale prima che arrivino i rinforzi?"
STRC_05v58,"It seems that way, Ed. The Royal forces have been able to defend the narrow coastal road from Corazol so far, but this attack might compromise that position, and open up the way for SLA tanks to roll straight on to the capital.","Cela semble être le cas, Ed. Les forces royales ont pu défendre jusqu'ici l'étroite route côtière menant à Corazol, mais cette nouvelle attaque risque de compromettre cette position et de permettre aux chars de l'ALS de déferler jusqu'à la capitale.","Parece que sí, Ed. Hasta ahora, las fuerzas Reales han conseguido defender el estrecho camino costero procedente de Corazol, pero este ataque podría comprometer esta posición, y abrir camino para que los tanques del SLA entren en la capital.","Così sembra, Ed. Finora le forze reali sono riuscite a difendere la strada costiera, ma questo attacco potrebbe compromettere quella posizione e aprire la strada verso la capitale ai carri armati dell’ELS."
STRC_05v59,"Once the capital and airfield are occupied, it might very well be possible that US troops decide to pull out alltogether, leaving South Sahrani to its fate.","Si la capitale et l'aéroport viennent à être occupés, il est fort possible que les forces américaines décident de quitter l'île et d'abandonner le Sahrani du Sud à son sort.","Si consiguen ocupar la capital y el campo aéreo, es posible que los Estados Unidos se retiren completamente, abandonado a Sahrani del Sur a su suerte.","Se la capitale e l’aeroporto fossero occupati, le forze americane potrebbero decidere di ritirarsi del tutto e lasciare Sahrani del Sud al suo destino."
STRC_05v60,"We will try to get you some footage of the events taking ...","Nous allons tenter de filmer les événements qui...","Intentaré conseguir imágenes de lo que está...","Cercheremo di offrirvi immagini degli eventi attraverso..."
STRC_05v61,"Marian? Marian, can you hear me?","Marian ? Marian, vous m'entendez ?","¿Marian? Marian, ¿me recibes?","Marian? Marian, puoi sentirmi?"
