LANGUAGE,"English","French","Spanish","Italian"


STRC_06v50,"This is AAN Network bringing you the latest news from South Sahrani.","Vous êtes sur AAN et voici les dernières nouvelles du Sahrani du Sud.","Estamos en la AAN Network, con las últimas noticias desde Sahrani del Sur.","Qui è Rete AAN, con gli ultimi aggiornamenti da Sahrani del Sud."
STRC_06v51,"This morning saw allied troops achieve a major victory by defending the shores of South Sahrani from a large scale amphibious invasion by forces of the Sahrani Liberation Army.","Ce matin, les forces alliées ont obtenu une victoire de taille en défendant les rivages du Sahrani du Sud contre un assaut amphibie d'envergure mené par l'Armée de libération de Sahrani.","Esta mañana, las tropas aliadas se hicieron con una importante victoria, defendiendo las costas de Sahrani del Sur de una invasión acuática a gran escala por parte del ejército del SLA.","Questa mattina le truppe alleate hanno ottenuto una vittoria importante, avendo difeso le coste di Sahrani del Sud da un’invasione anfibia delle truppe dell’ELS."
STRC_06v52,"The long and bitter fighting has claimed many casualties, and it is with great sadness that we inform you that AAN cameraman Arthur Stark and AAN reporter Marian Quandt were among them.","Les longs et durs combats ont entraîné de nombreuses pertes, et c'est avec une grande tristesse que je dois vous annoncer la mort du cadreur d'AAN Arthur Stark et de la journaliste d'AAN Marian Quandt.","El combate, largo y penoso, ha dejado muchas bajas; lamentamos informarles de que Arthur Stark, cámara de la AAN, y la reportera Marian Quandt, se encuentran entre las víctimas.","I combattimenti hanno causato numerose perdite. Ed è con grande tristezza che vi devo informare che il cameraman Arthur Stark e la giornalista Marian Quandt sono stati uccisi."
STRC_06v53,"Their commitment to providing the world with live reports of this ongoing struggle has ultimately claimed their lives.","Tous deux ont péri alors qu'ils cherchaient à vous tenir informés au plus près des combats.","Su afán por ofrecerle al mundo reportajes en directo de esta lucha continua, ha acabado con su vida.","Hanno pagato con la vita il loro impegno nel fornire notizie sugli eventi in tempo reale."
STRC_06v54,"Marian would not want us to end our broadcast in the event of her death, and therefore we continue with our coverage of the Sahrani conflict. We will not forget them.","Marian n'aurait jamais voulu que nous interrompions notre couverture du conflit en raison de sa mort. Nous continuerons donc à le suivre. Mais nous ne les oublierons pas.","Marian no querría que dejáramos de emitir tras su muerte, por lo que seguiremos cubriendo el conflicto de Sahrani. Nunca les olvidaremos.","Marian non vorrebbe che interrompessimo la trasmissione a causa della sua morte e dunque continueremo a coprire il conflitto di Sahrani. Non li dimenticheremo mai."
STRC_06v55,"Attention! Colonel speaking!","Fixe ! Le colonel vous parle !","¡Atención! ¡Habla el coronel!","Attenzione! Parla il colonnello!"
STRC_06v56,"Troops! We didn’t start this war, but by God, we’re going to finish it!","Soldats ! Ce n'est pas nous qui avons commencé cette guerre, mais on va la terminer !","¡Tropas! ¡No hemos empezado esta guerra, pero acabaremos con ella!","Truppe! Non abbiamo iniziato questa guerra, ma la finiremo!"
STRC_06v57,"This unprovoked act of aggression against this sovereign nation, our ally, and the deaths of the many brave American soldiers defending it, will not be forgotten.","Nous n'oublierons pas cet acte d'agression sans provocation mené contre une nation souveraine et alliée, pas plus que les nombreux soldats américains courageux qui ont péri en la défendant.","Este acto de agresión no provocada contra esta nación soberana y aliada nuestra, y la muerte de muchos soldados americanos durante su defensa, jamás será olvidado.","Questa aggressione nei confronti di una nazione sovrana nostra alleata e la morte di tanti soldati americani che la stavano difendendo non saranno dimenticate."
STRC_06v58,"Let’s finish this once and for all. Let’s bring this fight to the enemy and recover what they’ve stolen from the people of Sahrani!","Finissons-en une bonne fois. Allons porter le combat chez l'ennemi et lui reprendre ce qu'il a pris au peuple de Sahrani !","Acabemos de una vez por todas. ¡Enfrentémonos al enemigo y recuperemos lo que les han robado a las gentes de Sahrani!","Facciamola finita, una volta per tutte. Affrontiamo il nemico e recuperiamo quello che è stato rubato alla gente di Sahrani!"
STRC_06v59,"Today we’ll take back the Southern provinces and reclaim the city of Corazol. After days of being on the defense, it's our turn to show these Slags how we kick ass!","Aujourd'hui, nous allons reprendre les provinces du Sud et la ville de Corazol. Après avoir passé des jours sur la défensive, le moment est venu de montrer à l'ALS ce qu'on vaut à l'attaque !","Hoy recuperaremos las provincias del sur y la ciduad de Corazol. Después de pasar muchos días a la defensiva, ¡ha llegado la hora de darle a esa Escoria donde más les duele!","Oggi riprenderemo le province del sud e occuperemo la città di Corazol. Dopo alcuni giorni sulla difensiva, è arrivato il momento di far vedere cosa sappiamo fare!"
STRC_06v60,"Are you ready for war?","Vous êtes prêts à faire la guerre ?","¿Preparados para la guerra?","Siete pronti per la guerra?"
STRC_06v61,"==CHEERING==","==CHEERING==","==CHEERING==","=ACCLAMAZIONE="
