LANGUAGE,"English","French","Spanish","Italian"


STRC_xAv01,"Sahrani Island, paradise on Earth. You've heard a great deal about this place in the last few days.","L'île de Sahrani, paradis sur terre. Vous avez beaucoup entendu parler de cet endroit ces jours derniers.","Isla de Sahrani, paraíso terrenal. En los últimos días, han oido hablar mucho sobre este lugar.","L’isola di Sahrani, il paradiso terrestre. Negli ultimi giorni è stata al centro dell’attenzione."
STRC_xAv02,"As US forces enter Corazol, the city last held by SLA forces, the Kingdom of South Sahrani is free again.","Alors que les forces américaines entrent dans Corazol, la dernière ville tenue par l'ALS, le royaume du Sahrani du Sud est de nouveau libre.","A medida que las tropas americanas entran en Corazol, la última ciudad bajo el control del SLA, el reino de Sahrani del Sur vuelve a ser libre.","Le forze americane sono entrate a Corazol, ultimo baluardo dell’ELS, ed il regno è tornato libero."
STRC_xAv03,"We have a new reporter on site, Thomas Nordwick, and we have him live on from Sahrani right now. Thomas, what's the situation there?","Nous avons un nouvel envoyé sur place, Thomas Nordwick, et il est en direct avec nous. Quelle est la situation, Thomas ?","Tenemos un nuevo reportero en la zona, Thomas Nordwick, con quien acabamos de conectar en directo. Thomas, ¿cuál es la situación?","Abbiamo un nuovo corrispondente in collegamento da Sahrani, Thomas Nordwick. Thomas, qual è la situazione?"
STRC_xAv04,"Hello, Ed. The situation is… well… as good as it could be after a war, although this was a relatively short one.","Bonjour, Ed. La situation est... eh bien, aussi bonne qu'elle peut l'être après une guerre, même si celle-ci a été assez courte.","Hola Ed. La situación es... bueno... todo lo buena que puede ser tras una guerra, aunque ésta fuera relativamente corta.","Salve Ed. La situazione è... beh... buona quanto può esserlo dopo una guerra, anche se relativamente breve."
STRC_xAv05,"The people are relieved that the fighting is over and that the Northern forces are back on their side of the border, but some recent events have forever changed the way these people will look at their Northern neighbours.","Les populations sont soulagées par la fin des combats et le retour des forces du Nord de leur côté de la frontière, mais des événements récents ont changé à jamais le regard que portent les habitants du Sud sur leurs voisins du Nord.","La gente está aliviada porque ha terminado el conflicto y las tropas del norte han vuelto a su lado de la frontera, pero los últimos acontecimientos han cambiado para siempre el modo en que van a mirar a sus vecinos del norte.","La gente è lieta che i combattimenti siano terminati e che le forze del Nord siano ritornate al di là del confine, ma gli eventi di questi giorni hanno cambiato per sempre il modo in cui questa gente vede i vicini del Nord."
STRC_xAv06,"The Royal forces are working hard all over the kingdom to rebuild a thriving nation nearly destroyed by violent conflict, but they were not prepared for the gruesome truth discovered at the city of Cayo.","Les forces royales travaillent dur, dans l'ensemble du royaume, afin de reconstruire une nation florissante presque annihilée par le conflit, mais ne s'attendaient pas aux découvertes macabres qu'elles ont faites dans la ville de Cayo.","Las fuerzas Reales trabajan duro por todo el reino para reconstruir una nación próspera prácticamente destruida tras el conflicto armado, pero no estaban preparadas para afrontar la cruda realidad descubierta en la ciudad de Cayo.","Le forze reali stanno lavorando ovunque per restaurare prosperità ad una nazione piegata da questo violento conflitto, ma non erano pronte per la macabra scoperta fatta presso la città di Cayo."
STRC_xAv07,"At Cayo, we find ourselves investigating one of the places touched most tragically by the war. With us here is Captain Riboli, an officer of the Royal Army Corps of Sahrani.","Cayo est l'un des endroits les plus tragiquement touchés par la guerre. Nous avons avec nous le capitaine Riboli, officier du Corps d'armée royal du Sahrani.","En Cayo, hemos investigado uno de los lugares más afectados trágicamente por la guerra. Está con nosotros el capitán Riboli, oficial del Royal Army Corps de Sahrani.","Siamo a Cayo, per osservare uno dei posti più tragicamente toccati da questa guerra. È qui con noi il capitano Riboli, un ufficiale dei Corpi dell’Esercito Reale di Sahrani."
STRC_xAv08,"Please, can you tell us where we are and what has happened here?","Pouvez-vous nous indiquer où nous sommes et ce qui s'est passé ici ?","¿Podría explicarnos dónde estamos y qué es lo que ha sucedido aquí?","Per favore, potrebbe dirci dove siamo e che cosa è successo qui?"
