LANGUAGE,"English","French","Spanish","Italian"


STRC_XTv01,"As always, AAN Network is the first to bring you the latest news from the island of Sahrani.","Comme toujours, AAN est la première chaîne à vous fournir les dernières nouvelles de l'île de Sahrani.","Como siempre, la AAN Network es la primera en ofrecerles las últimas noticias de la isla de Sahrani.","Come sempre, Rete AAN è la prima a portarvi notizie sulla situazione dell’isola di Sahrani."
STRC_XTv02,"Our on-site reporter, Thomas Nordwick, has some breaking news. What's going on, Thomas?","Notre envoyé sur place, Thomas Nordwick, a de nouveaux développements. Que se passe-t-il, Thomas ?","Nuestro corresponsal en la zona, Thomas Nordwick, tiene noticias en exclusiva. ¿Qué está pasando, Thomas?","Il nostro inviato Thomas Nordwick ha importanti novità. Che cosa sta succedendo, Thomas?"
STRC_XTv03,"Hello Ed. We are finally here, in the city of Begongo... correction... Bagango, the capital of the Democratic Republic or Sahrani, occupied just moments ago by US forces.","Bonjour, Ed. Nous voilà enfin à Begongo... pardon, Bagongo, la capitale de la République démocratique de Sahrani, qui vient d'être occupée par les forces américaines.","Hola Ed. Por fin estamos aquí, en la ciudad de Begongo... no... Bagango, capital de la República Democrática de Sahrani, ocupada desde hace unos minutos por las tropas estadounidenses.","Salve Ed. Siamo finalmente arrivati a Begongo... Voglio dire, Bagango, la capitale della Repubblica Democratica di Sahrani, che è appena stata occupata dalle forze americane."
STRC_XTv04,"The weather is hot but the atmosphere couldn't be better! The totalitarian regime has been overthrown by the combined forces of the Royal Army Corps of Sahrani, the US Army and the US Marines, and a new future is dawning for the locals here.","Il fait chaud, mais l'atmosphère est idéale ! Le régime totalitaire a été renversé par les forces coalisées de l'armée royale du Sahrani, de l'US Army et des Marines et un nouvel avenir s'ouvre aux habitants.","¡Hace calor, pero el ambiente es excelente! El régimen totalitario ha sido derrocado gracias al esfuerzo conjunto de los Royal Army Corps of Sahrani, el ejército y los marines norteamericanos. Los habitantes de la zona tienen, al fin, un futuro esperanzador.","Qui fa caldo, ma l’atmosfera non potrebbe essere migliore! Il regime è stato rovesciato da un intervento combinato dei Corpi dell’Esercito Reale di Sahrani, dell’Esercito USA e dei Marine ed un futuro migliore si prospetta per la popolazione locale."
STRC_XTv05,"What about the reaction of the locals? Are our troops being welcomed as heroes and liberators?","Quelle est la réaction des habitants ? Nos soldats sont-ils accueillis en héros et en libérateurs ?","¿Y qué pasa con la reacción de los habitantes? ¿Reciben a nuestras tropas como héroes y libertadores?","Come ha reagito la popolazione locale nei confronti delle nostre truppe?"
STRC_XTv06,"Well, the situation is currently a bit more complicated for the local citizens. Word has it that the two islands might be joined as one greater Sahrani kingdom.","Eh bien, la situation est un peu plus complexe pour les habitants, dans la mesure où il est question de regrouper les deux parties de l'île en un seul grand royaume sahrani.","La situación es un poco complicada para los habitantes del lugar. Se comenta que las dos islas podrían unirse y formar el reino de Sahrani.","Beh, al momento la situazione è un po’ più complicata per i locali. Sembra che le due parti dell’isola possano riunirsi in un grande regno di Sahrani."
STRC_XTv07,"Although Northern locals will eventually be brought to understand that they have been liberated, they still need some time to adjust to this sudden change.","Si les habitants du Nord vont naturellement finir par réaliser qu'ils ont été libérés, il leur faut un peu de temps pour s'acclimater au changement.","Aunque los habitantes del norte acabarán comprendiendo que han sido liberados, todavía necesitan tiempo para ajustarse a este cambio tan repentino.","Anche se ad un certo punto capiranno che sono stati liberati, servirà del tempo alla popolazione del Nord per aggiustarsi ad un cambiamento tanto improvviso."
STRC_XTv08,"Unfortunately not everyone will be able to witness this united future. As a last terrible act, retreating SLA forces have laid waste to several towns and refugee camps in the vicinity of the capital.","Hélas, tous ne connaîtront pas cet avenir unifié. Alors qu'elles battaient en retraite, les troupes de l'ALS ont perpétré de terribles exactions dans plusieurs villes et camps de réfugiés à proximité de la capitale.","Por desgracia, no todo el mundo podrá ser testigo de esta unión futura. Como último gesto de crueldad, el SLA ha devastado varias ciudades y campamentos de refugiados próximos a la capital.","Purtroppo non tutti saranno in grado di vedere questo futuro unito. Le forze dell’ELS, durante la ritirata, hanno devastato parecchie città e campi profughi nei pressi della capitale."
