LANGUAGE,"English","French","Spanish","Italian"


STRC_CA_NAME,"Armed Assault","Armed Assault","Armed Assault","Armed Assault"
STRC_CA_01,"Transport","Transport","Transporte","Trasporto"
STRC_CA_02,"Beaten Dog","Chien battu","Perro apaleado","Cane bastonato"
STRC_CA_03,"Dolores","Dolores","Dolores","Dolores"
STRC_CA_04,"Battle of Somato","Bataille de Somato","Batalla de Somato","Battaglia di Somato"
STRC_CA_05,"Invasion","Invasion","Invasión","Invasione"
STRC_CA_06,"Counterattack","Contre-attaque","Contraataque","Contrattacco"
STRC_CA_07a,"Into Enemy Territory","En territoire ennemi","En territorio enemigo","In territorio nemico"
STRC_CA_07b,"Into Enemy Territory","En territoire ennemi","En territorio enemigo","In territorio nemico"
STRC_CA_07c,"Weakening","Affaiblissement","Debilitamiento","Indebolimento"
STRC_CA_08,"Final Countdown","Compte à rebours final","Cuenta atrás final","Conto alla rovescia finale"
STRC_CA_M01,"Sniper - Convoy","Sniper - convoi","Francotirador - Convoy","Cecchino - convoglio"
STRC_CA_M02,"Miner - Convoy","Minage - convoi","Minador - Convoy","Artificiere - convoglio"
STRC_CA_M03,"Driver - transport","Conducteur - transport","Conductor - transporte","Guidatore - trasporto"
STRC_CA_M04,"Saboteur","Saboteur","Saboteador","Sabotatore"
STRC_CA_M05,"Sanitizing operation","Nettoyage","Operación de saneamiento","Operazione di pulizia"
STRC_CA_M06,"Chopper - transport","Hélico - transport","Helicóptero - transporte","Elicottero - trasporto"
STRC_CA_M07,"Chopper - assault","Hélico - assaut","Helicóptero - asalto","Elicottero - assalto"
STRC_CA_M08,"Convoy Attack","Attaque de convoi","Ataque del convoy","Attacco al convoglio"
STRC_CA_M09,"Armored Fist","Poing blindé","Puño armado","Pugno blindato"
STRC_CA_M10,"Night patrol","Patrouille de nuit","Patrulla de noche","Ronda notturna"
STRC_CX01,"AAN: Sahrani","AAN - Sahrani","AAN: Sahrani","AAN: Sahrani"
STRC_CX02,"AAN: Breaking News","AAN - Flash d'infos","AAN: Exclusiva","AAN: Edizione straordinaria"
STRC_CX03,"AAN: Interview","AAN - Interview","AAN: Entrevista","AAN: Intervista"
STRC_CX04,"AAN: Night Report","AAN - Rapport de nuit","AAN: Informe nocturno","AAN: Cronaca notturna"
STRC_CX05,"AAN: War Reporter","AAN - Correspondant de guerre","AAN: Reportero de guerra","AAN: Reporter di guerra"
STRC_CX06,"AAN: Ready For War","AAN - Prêts pour la guerre","AAN: Preparados para la guerra","AAN: Pronti alla guerra"
STRC_CX07,"AAN: Revelations","AAN - Révélation","AAN: Revelaciones","AAN: Rivelazioni"
STRC_CX08,"AAN: Short News","AAN - Brève","AAN: Breves","AAN: Aggiornamenti"
STRC_CX09,"AAN: Quick Update","AAN - Rapport rapide","AAN: Novedades","AAN: Aggiornamenti veloci"
STRC_CX10,"AAN: End","AAN - Fin","AAN: Fin","AAN: Fine"
STRC_CS02,"Map: Beaten Dog","Carte - Chien battu","Mapa: Perros apaleados","Mappa: Cane bastonato"
STRC_CS03,"Map: Dolores","Carte - Dolores","Mapa: Dolores","Mappa: Dolores"
